"dotted_numeric","dotted_alphanumeric","nid","author","dtCreated","level"
"1","","","","","1"
"1.1","1","0255","DCE","Fri 31 Dec 1999 07:43:33 GMT+00:00","2"
"1.1.1","1a","0256","DCE","Fri 31 Dec 1999 07:50:18 GMT+00:00","3"
"1.1.2","1b","0257","DCE","Fri 31 Dec 1999 07:27:35 GMT+00:00","3"
"1.1.2.1","1b1","0286","DCE","Fri 31 Dec 1999 07:42:07 GMT+00:00","4"
"1.1.3","1c","0264","DCE","Fri 31 Dec 1999 07:02:25 GMT+00:00","3"
"1.2","2","0265","INML","Fri 31 Dec 1999 07:26:50 GMT+00:00","2"
"1.2.1","2a","0266","DCE","Fri 31 Dec 1999 07:42:38 GMT+00:00","3"
"1.2.2","2b","0267","DCE","Fri 31 Dec 1999 07:42:40 GMT+00:00","3"
"1.2.3","2c","0268","DCE","Fri 31 Dec 1999 07:42:51 GMT+00:00","3"
"1.2.4","2d","0269","DCE","Fri 31 Dec 1999 07:42:56 GMT+00:00","3"
"1.2.5","2e","0270","DCE","Fri 31 Dec 1999 07:42:55 GMT+00:00","3"
"1.2.6","2f","0271","DCE","Fri 31 Dec 1999 07:42:55 GMT+00:00","3"
"1.2.7","2g","0272","DCE","Fri 31 Dec 1999 07:42:54 GMT+00:00","3"
"1.3","3","0273","DCE","Fri 31 Dec 1999 07:43:06 GMT+00:00","2"
"1.3.1","3a","0274","DCE","Fri 31 Dec 1999 07:43:07 GMT+00:00","3"
"1.3.2","3b","0275","DCE","Fri 31 Dec 1999 07:43:08 GMT+00:00","3"
"1.3.3","3c","0276","DCE","Fri 31 Dec 1999 07:43:09 GMT+00:00","3"
"1.3.4","3d","0277","DCE","Fri 31 Dec 1999 07:43:09 GMT+00:00","3"
"1.3.5","3e","0278","DCE","Fri 31 Dec 1999 07:43:10 GMT+00:00","3"
"1.3.6","3f","0279","DCE","Fri 31 Dec 1999 07:43:11 GMT+00:00","3"
"1.3.7","3g","0280","DCE","Fri 31 Dec 1999 07:43:13 GMT+00:00","3"
"1.3.8","3h","0281","DCE","Fri 31 Dec 1999 07:43:14 GMT+00:00","3"
"1.3.9","3i","0282","DCE","Fri 31 Dec 1999 07:43:15 GMT+00:00","3"
"1.3.10","3j","0283","DCE","Fri 31 Dec 1999 07:43:16 GMT+00:00","3"
"1.3.11","3k","0284","DCE","Fri 31 Dec 1999 07:43:17 GMT+00:00","3"
