"dotted_numeric","dotted_alphanumeric","nid","author","dtCreated","level"
"1","","","","","1"
"1.1","1","0112","DCE","Mon 25 Feb 1991 07:50:45 GMT+00:00","2"
"1.1.1","1a","0113","DCE","Sat 30 Jun 1990 07:39:00 GMT+00:00","3"
"1.1.1.1","1a1","0114","CRIS","Tue 6 Mar 1990 05:21:52 GMT+00:00","4"
"1.1.2","1b","0115","DCE","Sat 30 Jun 1990 07:47:02 GMT+00:00","3"
"1.1.3","1c","0116","DCE","Sat 30 Jun 1990 07:50:43 GMT+00:00","3"
"1.1.4","1d","0117","CRIS","Sun 4 Mar 1990 04:53:33 GMT+00:00","3"
"1.1.5","1e","0118","BFAM","Sat 14 Jul 1990 00:08:10 GMT+00:00","3"
"1.1.5.1","1e1","0119","BFAM","Sat 14 Jul 1990 00:08:44 GMT+00:00","4"
"1.1.5.2","1e2","0120","BFAM","Sat 14 Jul 1990 00:09:03 GMT+00:00","4"
"1.1.6","1f","0121","DCE","Sun 1 Jul 1990 00:08:43 GMT+00:00","3"
"1.1.6.1","1f1","0122","DCE","Mon 2 Jul 1990 05:44:37 GMT+00:00","4"
"1.1.6.2","1f2","0123","DCE","Sun 1 Jul 1990 00:08:42 GMT+00:00","4"
"1.2","2","013","DCE","Mon 25 Feb 1991 07:50:47 GMT+00:00","2"
"1.2.1","2a","014","DCE","Mon 2 Jul 1990 05:34:38 GMT+00:00","3"
"1.2.1.1","2a1","015","CRIS","Wed 7 Mar 1990 07:03:35 GMT+00:00","4"
"1.2.2","2b","016","DCE","Mon 2 Jul 1990 05:35:31 GMT+00:00","3"
"1.2.3","2c","017","DCE","Mon 2 Jul 1990 05:34:45 GMT+00:00","3"
"1.3","3","018","DCE","Mon 25 Feb 1991 07:50:47 GMT+00:00","2"
"1.3.1","3a","019","DCE","Mon 2 Jul 1990 05:34:59 GMT+00:00","3"
"1.3.1.1","3a1","020","CRIS","Wed 7 Mar 1990 07:03:35 GMT+00:00","4"
"1.3.2","3b","021","CRIS","Sun 4 Mar 1990 04:55:20 GMT+00:00","3"
"1.4","4","022","DCE","Mon 25 Feb 1991 07:50:48 GMT+00:00","2"
"1.4.1","4a","023","CRIS","Wed 7 Mar 1990 07:03:35 GMT+00:00","3"
"1.4.1.1","4a1","024","CRIS","Wed 7 Mar 1990 07:03:35 GMT+00:00","4"
"1.5","5","025","DCE","Mon 25 Feb 1991 07:50:49 GMT+00:00","2"
"1.5.1","5a","026","DCE","Mon 2 Jul 1990 05:35:05 GMT+00:00","3"
"1.5.1.1","5a1","027","CRIS","Wed 7 Mar 1990 07:03:35 GMT+00:00","4"
"1.5.2","5b","028","DCE","Mon 2 Jul 1990 05:35:55 GMT+00:00","3"
"1.5.2.1","5b1","029","CRIS","Tue 6 Mar 1990 05:22:29 GMT+00:00","4"
"1.5.3","5c","030","DCE","Mon 2 Jul 1990 05:36:02 GMT+00:00","3"
"1.6","6","031","DCE","Mon 25 Feb 1991 07:50:51 GMT+00:00","2"
"1.6.1","6a","032","CRIS","Wed 7 Mar 1990 07:03:35 GMT+00:00","3"
"1.6.1.1","6a1","033","CRIS","Wed 7 Mar 1990 07:03:35 GMT+00:00","4"
"1.7","7","034","DCE","Mon 25 Feb 1991 07:50:52 GMT+00:00","2"
"1.7.1","7a","035","DCE","Mon 2 Jul 1990 05:36:18 GMT+00:00","3"
"1.7.1.1","7a1","036","CRIS","Wed 7 Mar 1990 07:03:35 GMT+00:00","4"
"1.7.2","7b","037","DCE","Mon 2 Jul 1990 05:37:52 GMT+00:00","3"
"1.8","8","038","DCE","Mon 25 Feb 1991 07:50:53 GMT+00:00","2"
"1.8.1","8a","039","CRIS","Sun 4 Mar 1990 04:14:02 GMT+00:00","3"
"1.8.2","8b","040","DCE","Thu 8 Mar 1990 00:19:20 GMT+00:00","3"
"1.8.3","8c","041","CRIS","Tue 6 Mar 1990 05:40:26 GMT+00:00","3"
"1.8.4","8d","042","DCE","Mon 2 Jul 1990 05:38:01 GMT+00:00","3"
"1.8.4.1","8d1","043","CRIS","Wed 7 Mar 1990 07:03:35 GMT+00:00","4"
"1.8.5","8e","044","BFAM","Sat 14 Jul 1990 00:14:34 GMT+00:00","3"
"1.8.6","8f","045","CRIS","Wed 7 Mar 1990 07:03:35 GMT+00:00","3"
"1.8.7","8g","046","BFAM","Sat 14 Jul 1990 00:15:14 GMT+00:00","3"
"1.8.8","8h","047","DCE","Thu 8 Mar 1990 00:19:20 GMT+00:00","3"
"1.8.8.1","8h1","048","CRIS","Wed 7 Mar 1990 07:03:44 GMT+00:00","4"
"1.8.9","8i","049","CRIS","Wed 7 Mar 1990 07:03:44 GMT+00:00","3"
"1.8.9.1","8i1","050","CRIS","Wed 7 Mar 1990 07:03:44 GMT+00:00","4"
"1.8.10","8j","051","DCE","Mon 2 Jul 1990 05:38:08 GMT+00:00","3"
"1.8.10.1","8j1","052","CRIS","Wed 7 Mar 1990 07:03:44 GMT+00:00","4"
"1.8.11","8k","053","DCE","Thu 8 Mar 1990 00:19:20 GMT+00:00","3"
"1.8.11.1","8k1","054","CRIS","Wed 7 Mar 1990 07:03:44 GMT+00:00","4"
"1.8.12","8l","055","CRIS","Wed 7 Mar 1990 06:46:42 GMT+00:00","3"
"1.8.13","8m","056","DCE","Mon 2 Jul 1990 05:38:22 GMT+00:00","3"
"1.9","9","057","DCE","Mon 25 Feb 1991 07:50:55 GMT+00:00","2"
"1.9.1","9a","058","CRIS","Wed 7 Mar 1990 06:48:27 GMT+00:00","3"
"1.9.1.1","9a1","059","CRIS","Wed 7 Mar 1990 06:48:29 GMT+00:00","4"
"1.9.2","9b","061","DCE","Mon 2 Jul 1990 05:35:12 GMT+00:00","3"
"1.10","10","0124","DCE","Mon 25 Feb 1991 07:52:18 GMT+00:00","2"
"1.10.1","10a","0125","DCE","Sun 1 Jul 1990 06:12:19 GMT+00:00","3"
"1.10.2","10b","0126","DCE","Sun 1 Jul 1990 06:22:12 GMT+00:00","3"
"1.10.3","10c","0127","DCE","Sun 1 Jul 1990 06:27:25 GMT+00:00","3"
"1.10.4","10d","0128","DCE","Sun 1 Jul 1990 06:28:24 GMT+00:00","3"
"1.10.4.1","10d1","0129","DCE","Sun 1 Jul 1990 06:28:50 GMT+00:00","4"
"1.10.4.2","10d2","0130","DCE","Wed 8 Feb 1989 06:26:20 GMT+00:00","4"
"1.10.5","10e","0131","DCE","Sun 1 Jul 1990 06:30:07 GMT+00:00","3"
"1.10.5.1","10e1","0132","CRIS","Wed 7 Mar 1990 06:53:17 GMT+00:00","4"
"1.10.5.2","10e2","0133","DCE","Sun 1 Jul 1990 06:30:21 GMT+00:00","4"
"1.10.5.3","10e3","0134","CRIS","Wed 7 Mar 1990 06:53:42 GMT+00:00","4"
"1.11","11","074","DCE","Mon 25 Feb 1991 07:50:56 GMT+00:00","2"
"1.11.1","11a","075","DCE","Wed 7 Mar 1990 00:17:57 GMT+00:00","3"
"1.11.2","11b","076","CRIS","Tue 6 Mar 1990 06:05:46 GMT+00:00","3"
"1.11.3","11c","077","CRIS","Tue 6 Mar 1990 06:07:24 GMT+00:00","3"
"1.11.4","11d","078","CRIS","Tue 6 Mar 1990 06:08:45 GMT+00:00","3"
"1.11.5","11e","079","DCE","Mon 2 Jul 1990 05:38:31 GMT+00:00","3"
"1.11.6","11f","080","CRIS","Tue 6 Mar 1990 06:09:04 GMT+00:00","3"
"1.11.7","11g","081","CRIS","Tue 6 Mar 1990 06:15:15 GMT+00:00","3"
"1.11.8","11h","082","CRIS","Tue 6 Mar 1990 06:13:23 GMT+00:00","3"
"1.11.9","11i","083","CRIS","Tue 6 Mar 1990 06:21:28 GMT+00:00","3"
"1.11.10","11j","084","CRIS","Mon 12 Mar 1990 05:51:28 GMT+00:00","3"
"1.11.11","11k","085","DCE","Mon 3 Apr 1989 02:10:44 GMT+00:00","3"
"1.11.12","11l","086","DCE","Wed 8 Feb 1989 06:38:11 GMT+00:00","3"
"1.11.12.1","11l1","087","DCE","Wed 8 Feb 1989 06:38:27 GMT+00:00","4"
"1.12","12","088","DCE","Mon 25 Feb 1991 07:50:56 GMT+00:00","2"
"1.12.1","12a","089","CRIS","Tue 6 Mar 1990 06:15:52 GMT+00:00","3"
"1.12.2","12b","090","CRIS","Tue 6 Mar 1990 06:19:12 GMT+00:00","3"
"1.12.3","12c","091","CRIS","Tue 6 Mar 1990 06:19:32 GMT+00:00","3"
"1.12.3.1","12c1","092","DCE","Wed 8 Feb 1989 06:37:36 GMT+00:00","4"
"1.12.4","12d","093","CRIS","Tue 6 Mar 1990 06:21:05 GMT+00:00","3"
"1.13","13","094","DCE","Mon 25 Feb 1991 07:50:56 GMT+00:00","2"
"1.13.1","13a","095","CRIS","Tue 6 Mar 1990 06:21:53 GMT+00:00","3"
"1.13.1.1","13a1","096","CRIS","Wed 7 Mar 1990 07:03:44 GMT+00:00","4"
"1.13.2","13b","097","CRIS","Tue 6 Mar 1990 06:22:50 GMT+00:00","3"
"1.14","14","098","DCE","Mon 25 Feb 1991 07:50:57 GMT+00:00","2"
"1.14.1","14a","099","CRIS","Wed 7 Mar 1990 07:03:44 GMT+00:00","3"
"1.14.1.1","14a1","0100","CRIS","Wed 7 Mar 1990 07:03:44 GMT+00:00","4"
"1.14.2","14b","0101","CRIS","Wed 7 Mar 1990 06:54:33 GMT+00:00","3"
"1.14.3","14c","0102","DCE","Wed 7 Mar 1990 00:38:12 GMT+00:00","3"
"1.14.4","14d","0103","CRIS","Wed 7 Mar 1990 06:55:27 GMT+00:00","3"
"1.15","15","0104","DCE","Mon 25 Feb 1991 07:50:58 GMT+00:00","2"
"1.15.1","15a","0105","DCE","Wed 7 Mar 1990 00:18:25 GMT+00:00","3"
