"dotted_numeric","dotted_alphanumeric","nid","author","dtCreated"
"1.1","1","0207","CE","Wed 14 Aug 1996 07:07:00 GMT+00:00"
"1.1.1","1a","0208","CE","Tue 25 Jun 1996 06:22:06 GMT+00:00"
"1.2","2","0209","CE","Thu 4 Jul 1996 05:22:17 GMT+00:00"
"1.2.1","2a","0210","CE","Wed 14 Aug 1996 07:12:24 GMT+00:00"
"1.2.1.1","2a1","0211","CE","Fri 5 Jul 1996 04:19:51 GMT+00:00"
"1.2.1.2","2a2","0212","CE","Tue 25 Jun 1996 06:22:06 GMT+00:00"
"1.2.1.3","2a3","0213","CE","Tue 25 Jun 1996 06:22:06 GMT+00:00"
"1.2.1.4","2a4","0214","CE","Tue 25 Jun 1996 06:22:06 GMT+00:00"
"1.2.1.5","2a5","0215","CE","Tue 25 Jun 1996 06:22:06 GMT+00:00"
"1.2.1.6","2a6","0216","CE","Fri 5 Jul 1996 04:20:01 GMT+00:00"
"1.2.2","2b","0217","CE","Thu 4 Jul 1996 05:21:36 GMT+00:00"
"1.2.2.1","2b1","0218","CE","Wed 14 Aug 1996 07:08:42 GMT+00:00"
"1.2.2.2","2b2","0219","CE","Tue 25 Jun 1996 06:22:07 GMT+00:00"
"1.2.2.3","2b3","0220","CE","Wed 14 Aug 1996 07:08:42 GMT+00:00"
"1.2.2.3.1","2b3a","0221","CE","Wed 14 Aug 1996 07:50:46 GMT+00:00"
"1.2.2.4","2b4","0223","CE","Tue 25 Jun 1996 06:22:07 GMT+00:00"
"1.2.2.5","2b5","0224","CE","Wed 14 Aug 1996 07:08:42 GMT+00:00"
"1.2.2.6","2b6","0225","CE","Tue 25 Jun 1996 06:22:07 GMT+00:00"
"1.2.3","2c","0226","CE","Thu 4 Jul 1996 05:21:37 GMT+00:00"
"1.2.3.1","2c1","0227","CE","Tue 25 Jun 1996 06:22:07 GMT+00:00"
"1.2.3.2","2c2","0228","CE","Wed 14 Aug 1996 07:08:42 GMT+00:00"
"1.2.3.3","2c3","0229","CE","Tue 25 Jun 1996 06:22:07 GMT+00:00"
"1.2.3.4","2c4","0230","CE","Tue 25 Jun 1996 06:22:07 GMT+00:00"
"1.2.3.5","2c5","0231","CE","Tue 25 Jun 1996 06:22:07 GMT+00:00"
"1.2.3.6","2c6","0232","CE","Tue 25 Jun 1996 06:22:07 GMT+00:00"
"1.2.4","2d","0233","CE","Thu 4 Jul 1996 05:21:38 GMT+00:00"
"1.2.4.1","2d1","0234","CE","Thu 4 Jul 1996 05:25:20 GMT+00:00"
"1.2.4.2","2d2","0235","CE","Tue 25 Jun 1996 06:22:07 GMT+00:00"
"1.2.4.3","2d3","0236","CE","Wed 14 Aug 1996 07:08:42 GMT+00:00"
"1.2.4.3.1","2d3a","0237","CE","Thu 4 Jul 1996 05:02:32 GMT+00:00"
"1.2.4.3.2","2d3b","0238","CE","Thu 4 Jul 1996 05:02:33 GMT+00:00"
"1.2.4.3.3","2d3c","0239","CE","Wed 14 Aug 1996 07:08:33 GMT+00:00"
"1.2.4.4","2d4","0240","CE","Tue 25 Jun 1996 06:22:07 GMT+00:00"
"1.2.4.5","2d5","0241","CE","Wed 14 Aug 1996 07:08:42 GMT+00:00"
"1.2.4.6","2d6","0242","CE","Tue 25 Jun 1996 06:22:07 GMT+00:00"
"1.2.4.7","2d7","0243","CE","Tue 25 Jun 1996 06:22:07 GMT+00:00"
"1.2.4.8","2d8","0244","CE","Tue 25 Jun 1996 06:22:07 GMT+00:00"
"1.3","3","0246","CE","Thu 4 Jul 1996 05:22:18 GMT+00:00"
"1.3.1","3a","0247","CE","Thu 4 Jul 1996 05:25:21 GMT+00:00"
"1.3.2","3b","0248","CE","Tue 25 Jun 1996 06:22:07 GMT+00:00"
"1.3.3","3c","0249","CE","Thu 4 Jul 1996 05:25:23 GMT+00:00"
"1.3.3.1","3c1","0250","CE","Wed 14 Aug 1996 07:50:46 GMT+00:00"
"1.4","4","0252","CE","Thu 4 Jul 1996 05:22:20 GMT+00:00"
"1.4.1","4a","0253","CE","Thu 4 Jul 1996 05:25:28 GMT+00:00"
"1.4.1.1","4a1","0254","CE","Wed 14 Aug 1996 07:50:46 GMT+00:00"
"1.4.2","4b","0256","CE","Wed 14 Aug 1996 07:08:42 GMT+00:00"
"1.4.2.1","4b1","0257","CE","Wed 14 Aug 1996 07:50:46 GMT+00:00"
"1.5","5","081","CE","Thu 4 Jul 1996 05:22:23 GMT+00:00"
"1.5.1","5a","082","CE","Tue 25 Jun 1996 06:22:59 GMT+00:00"
"1.5.1.1","5a1","083","CE","Wed 14 Aug 1996 07:08:58 GMT+00:00"
"1.5.2","5b","084","CE","Tue 25 Jun 1996 06:22:59 GMT+00:00"
"1.5.3","5c","085","CE","Tue 25 Jun 1996 06:22:59 GMT+00:00"
"1.5.4","5d","086","CE","Thu 4 Jul 1996 05:25:52 GMT+00:00"
"1.5.4.1","5d1","087","CE","Wed 14 Aug 1996 07:50:46 GMT+00:00"
"1.5.5","5e","089","CE","Wed 14 Aug 1996 07:08:42 GMT+00:00"
"1.6","6","090","CE","Thu 4 Jul 1996 05:22:25 GMT+00:00"
"1.6.1","6a","091","CE","Tue 25 Jun 1996 06:22:59 GMT+00:00"
"1.6.1.1","6a1","092","CE","Wed 14 Aug 1996 07:09:50 GMT+00:00"
"1.6.2","6b","093","CE","Tue 25 Jun 1996 06:22:59 GMT+00:00"
"1.6.3","6c","094","CE","Thu 4 Jul 1996 05:25:55 GMT+00:00"
"1.6.4","6d","095","CE","Thu 4 Jul 1996 05:25:11 GMT+00:00"
"1.6.5","6e","096","CE","Tue 25 Jun 1996 06:22:59 GMT+00:00"
"1.6.5.1","6e1","097","CE","Wed 14 Aug 1996 07:50:46 GMT+00:00"
"1.6.6","6f","099","CE","Thu 4 Jul 1996 05:26:03 GMT+00:00"
"1.6.6.1","6f1","0100","CE","Wed 14 Aug 1996 07:10:48 GMT+00:00"
"1.6.6.2","6f2","0101","CE","Wed 14 Aug 1996 07:10:48 GMT+00:00"
"1.6.6.3","6f3","0102","CE","Wed 14 Aug 1996 07:10:48 GMT+00:00"
"1.6.6.4","6f4","0104","CE","Wed 14 Aug 1996 07:50:46 GMT+00:00"
"1.6.7","6g","0106","CE","Thu 4 Jul 1996 05:26:07 GMT+00:00"
"1.6.8","6h","0107","CE","Tue 25 Jun 1996 06:22:59 GMT+00:00"
"1.6.9","6i","0108","CE","Thu 4 Jul 1996 05:26:13 GMT+00:00"
"1.6.10","6j","0109","CE","Tue 25 Jun 1996 06:22:59 GMT+00:00"
"1.6.11","6k","0110","CE","Tue 25 Jun 1996 06:22:59 GMT+00:00"
"1.6.12","6l","0111","CE","Thu 4 Jul 1996 05:27:52 GMT+00:00"
"1.6.12.1","6l1","0112","CE","Wed 14 Aug 1996 07:50:46 GMT+00:00"
"1.6.13","6m","0114","CE","Tue 25 Jun 1996 06:22:59 GMT+00:00"
"1.6.14","6n","0115","CE","Tue 25 Jun 1996 06:22:59 GMT+00:00"
"1.6.15","6o","0116","CE","Thu 4 Jul 1996 05:28:21 GMT+00:00"
"1.6.16","6p","0117","CE","Thu 4 Jul 1996 05:28:26 GMT+00:00"
"1.6.17","6q","0118","CE","Tue 25 Jun 1996 06:22:59 GMT+00:00"
"1.6.18","6r","0119","CE","Wed 14 Aug 1996 07:08:42 GMT+00:00"
"1.6.19","6s","0120","CE","Thu 4 Jul 1996 05:28:30 GMT+00:00"
"1.6.20","6t","0121","CE","Tue 25 Jun 1996 06:22:59 GMT+00:00"
"1.6.20.1","6t1","0122","CE","Wed 14 Aug 1996 07:50:46 GMT+00:00"
"1.6.21","6u","0124","CE","Tue 25 Jun 1996 06:22:59 GMT+00:00"
"1.6.22","6v","0125","CE","Tue 25 Jun 1996 06:22:59 GMT+00:00"
"1.6.23","6w","0126","CE","Tue 25 Jun 1996 06:22:59 GMT+00:00"
"1.6.24","6x","0127","CE","Thu 4 Jul 1996 05:28:37 GMT+00:00"
"1.6.24.1","6x1","0128","CE","Wed 14 Aug 1996 07:50:46 GMT+00:00"
"1.6.25","6y","0130","CE","Tue 25 Jun 1996 06:22:59 GMT+00:00"
"1.6.26","6z","0131","CE","Wed 14 Aug 1996 07:08:42 GMT+00:00"
"1.6.27","6aa","0132","CE","Tue 25 Jun 1996 06:22:59 GMT+00:00"
"1.6.27.1","6aa1","0133","CE","Wed 14 Aug 1996 07:11:12 GMT+00:00"
"1.7","7","0134","CE","Thu 4 Jul 1996 05:22:45 GMT+00:00"
"1.7.1","7a","0135","CE","Tue 25 Jun 1996 06:22:59 GMT+00:00"
"1.7.2","7b","0136","CE","Tue 25 Jun 1996 06:22:59 GMT+00:00"
"1.7.3","7c","0137","CE","Fri 5 Jul 1996 04:20:05 GMT+00:00"
"1.7.4","7d","0138","CE","Tue 25 Jun 1996 06:22:59 GMT+00:00"
"1.7.5","7e","0139","CE","Wed 14 Aug 1996 07:10:48 GMT+00:00"
"1.7.6","7f","0140","CE","Wed 14 Aug 1996 07:10:48 GMT+00:00"
"1.7.7","7g","0141","CE","Wed 14 Aug 1996 07:10:48 GMT+00:00"
