"dotted_numeric","dotted_alphanumeric","nid","author","dtCreated","level"
"1","","","","","1"
"1.1","1","01","","","2"
"1.1.1","1a","02","","","3"
"1.1.1.1","1a1","03","","","4"
"1.1.1.2","1a2","04","","","4"
"1.1.1.3","1a3","05","","","4"
"1.1.1.4","1a4","06","","","4"
"1.1.1.5","1a5","07","","","4"
"1.1.1.6","1a6","08","","","4"
"1.1.1.7","1a7","09","","","4"
"1.1.1.8","1a8","010","","","4"
"1.1.1.9","1a9","011","","","4"
"1.1.1.10","1a10","012","","","4"
"1.1.1.11","1a11","013","","","4"
"1.1.1.12","1a12","014","","","4"
"1.1.1.13","1a13","015","","","4"
"1.1.1.14","1a14","016","","","4"
"1.1.1.15","1a15","017","","","4"
"1.1.1.16","1a16","018","","","4"
"1.1.1.17","1a17","019","","","4"
"1.1.1.18","1a18","020","","","4"
"1.1.1.19","1a19","021","","","4"
"1.1.2","1b","022","","","3"
"1.1.2.1","1b1","023","","","4"
"1.1.2.1.1","1b1a","024","","","5"
"1.1.2.1.2","1b1b","025","","","5"
"1.1.2.1.3","1b1c","026","","","5"
"1.1.2.1.4","1b1d","027","","","5"
"1.1.2.2","1b2","028","","","4"
"1.2","2","029","","","2"
"1.2.1","2a","030","","","3"
"1.2.1.1","2a1","031","","","4"
"1.2.1.2","2a2","032","","","4"
"1.2.1.3","2a3","033","","","4"
"1.2.1.4","2a4","034","","","4"
"1.2.1.4.1","2a4a","035","","","5"
"1.2.1.4.2","2a4b","036","","","5"
"1.2.1.4.3","2a4c","037","","","5"
"1.2.1.4.4","2a4d","038","","","5"
"1.2.1.5","2a5","039","","","4"
"1.2.1.6","2a6","040","","","4"
"1.2.1.7","2a7","041","","","4"
"1.2.1.8","2a8","042","","","4"
"1.2.1.9","2a9","043","","","4"
"1.2.1.10","2a10","044","","","4"
"1.2.1.11","2a11","045","","","4"
"1.2.1.12","2a12","046","","","4"
"1.2.1.13","2a13","047","","","4"
"1.2.1.14","2a14","048","","","4"
"1.2.1.15","2a15","049","","","4"
"1.2.1.16","2a16","050","","","4"
"1.2.1.17","2a17","051","","","4"
"1.2.1.18","2a18","052","","","4"
"1.2.1.19","2a19","053","","","4"
"1.2.1.20","2a20","054","","","4"
"1.2.1.21","2a21","055","","","4"
"1.2.1.22","2a22","056","","","4"
"1.2.1.23","2a23","057","","","4"
"1.2.1.24","2a24","058","","","4"
"1.2.2","2b","059","","","3"
"1.2.2.1","2b1","060","","","4"
"1.2.2.2","2b2","061","","","4"
"1.2.2.3","2b3","062","","","4"
"1.2.2.4","2b4","063","","","4"
"1.2.2.5","2b5","064","","","4"
"1.2.2.6","2b6","065","","","4"
"1.2.2.7","2b7","066","","","4"
"1.2.3","2c","067","","","3"
"1.2.3.1","2c1","068","","","4"
"1.2.3.1.1","2c1a","069","","","5"
"1.2.3.1.2","2c1b","070","","","5"
"1.2.3.1.3","2c1c","071","","","5"
"1.2.3.1.4","2c1d","072","","","5"
"1.2.3.1.5","2c1e","073","","","5"
"1.2.3.1.6","2c1f","074","","","5"
"1.2.3.2","2c2","075","","","4"
"1.2.3.2.1","2c2a","076","","","5"
"1.2.3.2.2","2c2b","077","","","5"
"1.2.3.2.3","2c2c","078","","","5"
"1.2.3.3","2c3","079","","","4"
"1.2.3.3.1","2c3a","080","","","5"
"1.2.3.3.1.1","2c3a1","081","","","6"
"1.2.3.3.2","2c3b","082","","","5"
"1.2.3.3.3","2c3c","083","","","5"
"1.2.3.3.4","2c3d","084","","","5"
"1.2.3.4","2c4","085","","","4"
"1.2.3.4.1","2c4a","086","","","5"
"1.2.3.4.2.1","2c4b1","087","","","6"
"1.2.3.4.2.2","2c4b2","088","","","6"
"1.2.3.4.2.3","2c4b3","089","","","6"
"1.2.3.4.3","2c4c","090","","","5"
"1.2.3.4.4","2c4d","091","","","5"
"1.2.3.4.5","2c4e","092","","","5"
"1.2.3.4.6","2c4f","093","","","5"
"1.2.3.4.7","2c4g","094","","","5"
"1.2.3.4.8","2c4h","095","","","5"
"1.2.3.4.9","2c4i","096","","","5"
"1.2.3.4.10.1","2c4j1","097","","","6"
"1.2.3.4.11","2c4k","098","","","5"
"1.2.3.4.12","2c4l","099","","","5"
"1.2.3.4.13","2c4m","0100","","","5"
"1.2.3.4.14","2c4n","0101","","","5"
"1.2.3.4.14.1","2c4n1","0102","","","6"
"1.2.3.4.15","2c4o","0103","","","5"
"1.2.3.4.16","2c4p","0104","","","5"
"1.2.3.4.17","2c4q","0105","","","5"
"1.2.3.5","2c5","0106","","","4"
"1.2.3.5.1","2c5a","0107","","","5"
"1.2.3.5.2","2c5b","0108","","","5"
