"Index","Line Number","Text"
"1","1","AUGMENTING HUMAN INTELLECT: A Conceptual Framework.<br />By"
"1","2","Douglas C. Engelbart.<br />October 1962."
"1.1","1","I. INTRODUCTION"
"1.1.1","1","A. GENERAL"
"1.1.1.1","1","By &quot;augmenting human intellect&quot; we mean increasing the"
"1.1.1.1","2","capability of a man to approach a complex problem situation, to"
"1.1.1.1","3","gain comprehension to suit his particular needs, and to derive"
"1.1.1.1","4","solutions to problems. Increased capability in this respect is"
"1.1.1.1","5","taken to mean a mixture of the following: more-rapid"
"1.1.1.1","6","comprehension, better comprehension, the possibility of gaining"
"1.1.1.1","7","a useful degree of comprehension in a situation that previously"
"1.1.1.1","8","was too complex, speedier solutions, better solutions, and the"
"1.1.1.1","9","possibility of finding solutions to problems that before seemed"
"1.1.1.1","10","insoluble. And by &quot;complex situations&quot; we include the"
"1.1.1.1","11","professional problems of diplomats, executives, social"
"1.1.1.1","12","scientists, life scientists, physical scientists, attorneys,"
"1.1.1.1","13","designers--whether the problem situation exists for twenty"
"1.1.1.1","14","minutes or twenty years. We do not speak of isolated clever"
"1.1.1.1","15","tricks that help in particular situations.  We refer to a way of"
"1.1.1.1","16","life in an integrated domain where hunches, cut-and-try,"
"1.1.1.1","17","intangibles, and the human &quot;feel for a situation&quot;"
"1.1.1.1","18","usefully co-exist with powerful concepts, streamlined"
"1.1.1.1","19","terminology and notation, sophisticated methods, and high-"
"1.1.1.1","20","powered electronic aids."
"1.1.1.2","1","Man's population and gross product are increasing at a"
"1.1.1.2","2","considerable rate, but the <i>complexity</i> of his problems"
"1.1.1.2","3","grows still faster, and the <i>urgency</i> with which solutions"
"1.1.1.2","4","must be found becomes steadily greater in response to the"
"1.1.1.2","5","increased rate of activity and the increasingly global nature of"
"1.1.1.2","6","that activity. Augmenting man's intellect, in the sense defined"
"1.1.1.2","7","above, would warrant full pursuit by an enlightened society if"
"1.1.1.2","8","there could be shown a reasonable approach and some plausible"
"1.1.1.2","9","benefits."
"1.1.1.3","1","This report covers the first phase of a program aimed at"
"1.1.1.3","2","developing means to augment the human intellect. These"
"1.1.1.3","3","&quot;means&quot; can include many things--all of which appear"
"1.1.1.3","4","to be but extensions of means developed andused in the past to"
"1.1.1.3","5","help man apply his native sensory, mental, and motor"
"1.1.1.3","6","capabilities--and we consider the whole system of a human and"
"1.1.1.3","7","his augmentation means as a proper field of search for practical"
"1.1.1.3","8","possibilities. It is a very important system to our society, and"
"1.1.1.3","9","like most systems its performance can best be improved by"
"1.1.1.3","10","considering the whole as a set of interacting components rather"
"1.1.1.3","11","than by considering the components in isolation."
"1.1.1.4","1","This kind of system approach to human intellectual effectiveness"
"1.1.1.4","2","does not find a ready-made conceptual framework such as exists"
"1.1.1.4","3","for established disciplines. Before a research program can be"
"1.1.1.4","4","designed to pursue such an approach intelligently, so that"
"1.1.1.4","5","practical benefits might be derived within a reasonable time"
"1.1.1.4","6","while also producing results of longrange significance, a"
"1.1.1.4","7","conceptual framework must be searched out--a framework that"
"1.1.1.4","8","provides orientation as to the important factors of the system,"
"1.1.1.4","9","the relationships among these factors, the types of change among"
"1.1.1.4","10","the system factors that offer likely improvements in"
"1.1.1.4","11","performance, and the sort of research goals and methodology that"
"1.1.1.4","12","seem promising.<a href=&quot;#Notes-1-1&quot;>1</a>"
"1.1.1.5","1","In the first (search) phase of our program we have developed a"
"1.1.1.5","2","conceptual framework that seems satisfactory for the current"
"1.1.1.5","3","needs of designing a research phase. Section II contains the"
"1.1.1.5","4","essence of this framework as derived from several different ways"
"1.1.1.5","5","of looking at the system made up of a human and his intellect-"
"1.1.1.5","6","augmentation means."
"1.1.1.6","1","The process of developing this conceptual framework brought out"
"1.1.1.6","2","a number of significant realizations: that the intellectual"
"1.1.1.6","3","effectiveness exercised today by a given human has little"
"1.1.1.6","4","likelihood of being intelligence limited--that there are dozens"
"1.1.1.6","5","of disciplines in engineering, mathematics, and the social,"
"1.1.1.6","6","life, and physical sciences that can contribute improvements to"
"1.1.1.6","7","the system of intellect-augmentation means; that any one such"
"1.1.1.6","8","improvement can be expected to trigger a chain of"
"1.1.1.6","9","coordinatingimprovements; that until every one of these"
"1.1.1.6","10","disciplines comes to a standstill and we have exhausted all the"
"1.1.1.6","11","improvement possibilities we could glean from it, we can expect"
"1.1.1.6","12","to continue to develop improvements in this human-intellect"
"1.1.1.6","13","system; that there is no particular reason not to expect gains"
"1.1.1.6","14","in personal intellectual effectiveness from a concerted"
"1.1.1.6","15","systemoriented approach that compare to those made in personal"
"1.1.1.6","16","geographic mobility since horseback and sailboat days."
"1.1.1.7","1","The picture of how one can view the possibilities for a"
"1.1.1.7","2","systematic approach to increasing human intellectual"
"1.1.1.7","3","effectiveness, as put forth in Section II in the sober and"
"1.1.1.7","4","general terms of an initial basic analysis, does not seem to"
"1.1.1.7","5","convey all of the richness and promise that was stimulated by"
"1.1.1.7","6","the development of that picture. Consequently, Section III is"
"1.1.1.7","7","intended to present some definite images that illustrate"
"1.1.1.7","8","meaningful possibilities deriveable from the conceptual"
"1.1.1.7","9","framework presented in Section II--and in a rather marked"
"1.1.1.7","10","deviation from ordinary technical writing, a good portion of"
"1.1.1.7","11","Section III presents these images in a fiction-dialogue style as"
"1.1.1.7","12","a mechanism for transmitting a feeling for the richness and"
"1.1.1.7","13","promise of the possibilities in one region of the improvement"
"1.1.1.7","14","space&quot; that is roughly mapped in Section II."
"1.1.1.8","1","The style of Section III seems to make for easier reading. If"
"1.1.1.8","2","Section II begins to seem unrewardingly difficult, the reader"
"1.1.1.8","3","may find it helpful to skip from Section II-B directly to"
"1.1.1.8","4","Section III. If it serves its purpose well enough, Section III"
"1.1.1.8","5","will provide a context within which the reader can go back and"
"1.1.1.8","6","finish Section II with less effort."
"1.1.1.9","1","In Section IV (Research Recommendations) we present a general"
"1.1.1.9","2","strategy for pursuing research toward increasing human"
"1.1.1.9","3","intellectual effectiveness.  This strategy evolved directly from"
"1.1.1.9","4","the concepts presented in Sections II and III; one of its"
"1.1.1.9","5","important precepts is to pursue the quickest gains first, and"
"1.1.1.9","6","use the increased intellectual effectiveness thus derived to"
"1.1.1.9","7","help pursue successive gains. We see the quickest gains emerging"
"1.1.1.9","8","from (1) giving the human the minute-by-minute services of a"
"1.1.1.9","9","digital computer equipped with computer-driven cathode-ray-tube"
"1.1.1.9","10","display, and (2) developing the new methods of thinking and"
"1.1.1.9","11","working that allow the human to capitalizeupon the computer's"
"1.1.1.9","12","help. By this same strategy, we recommend that an initial"
"1.1.1.9","13","research effort develop a prototype system of this sort aimed at"
"1.1.1.9","14","increasing human effectiveness in the task of computer"
"1.1.1.9","15","programming."
"1.1.1.10","1","To give the reader an initial orientation about what sort of"
"1.1.1.10","2","thing this computer-aided working system might be, we include"
"1.1.1.10","3","below a short description of a possible system of this sort."
"1.1.1.10","4","This illustrative example is not to be considered a description"
"1.1.1.10","5","of the actual system that will emerge from the program. It is"
"1.1.1.10","6","given only to show the general direction of the work, and is"
"1.1.1.10","7","clothed in fiction only to make it easier to visualize."
"1.1.1.11","1","Let us consider an augmented architect at work. He sits at a"
"1.1.1.11","2","working station that has a visual display screen some three feet"
"1.1.1.11","3","on a side; this is his working surface, and is controlled by a"
