"dotted_numeric","dotted_alphanumeric","nid","author","dtCreated","level"
"1","","","","","1"
"1.1","1","014","DCE","Mon 23 Oct 2000 02:02:31 GMT+00:00","2"
"1.1.1","1a","015","DCE","Mon 23 Oct 2000 02:01:21 GMT+00:00","3"
"1.1.2","1b","016","DCE","Wed 18 Oct 2000 06:18:00 GMT+00:00","3"
"1.2","2","017","DCE","Mon 23 Oct 2000 03:40:22 GMT+00:00","2"
"1.2.1","2a","018","DCE","Mon 23 Oct 2000 02:20:29 GMT+00:00","3"
"1.2.2","2b","019","DCE","Mon 23 Oct 2000 02:15:44 GMT+00:00","3"
"1.2.2.1","2b1","020","DCE","Mon 23 Oct 2000 02:14:01 GMT+00:00","4"
"1.2.3","2c","021","DCE","Mon 23 Oct 2000 03:19:14 GMT+00:00","3"
"1.2.3.1","2c1","022","DCE","Mon 23 Oct 2000 02:21:01 GMT+00:00","4"
"1.2.3.1.1","2c1a","023","DCE","Mon 23 Oct 2000 02:23:27 GMT+00:00","5"
"1.2.3.2","2c2","024","DCE","Mon 23 Oct 2000 03:19:44 GMT+00:00","4"
"1.2.3.2.1","2c2a","025","DCE","Mon 23 Oct 2000 03:19:50 GMT+00:00","5"
"1.2.3.3","2c3","026","DCE","Mon 23 Oct 2000 03:20:02 GMT+00:00","4"
"1.2.3.3.1","2c3a","027","DCE","Mon 23 Oct 2000 03:20:02 GMT+00:00","5"
"1.2.3.3.2","2c3b","028","DCE","Mon 23 Oct 2000 02:29:39 GMT+00:00","5"
"1.2.3.3.3","2c3c","029","DCE","Mon 23 Oct 2000 03:20:25 GMT+00:00","5"
"1.2.3.4","2c4","030","DCE","Mon 23 Oct 2000 03:18:34 GMT+00:00","4"
"1.2.3.4.1","2c4a","031","DCE","Thu 19 Oct 2000 06:50:23 GMT+00:00","5"
"1.2.3.4.2","2c4b","032","DCE","Fri 20 Oct 2000 00:29:20 GMT+00:00","5"
"1.2.3.4.3","2c4c","033","DCE","Thu 19 Oct 2000 06:50:23 GMT+00:00","5"
"1.2.3.4.4","2c4d","034","DCE","Mon 23 Oct 2000 03:20:43 GMT+00:00","5"
"1.2.3.5","2c5","035","DCE","Mon 23 Oct 2000 03:20:58 GMT+00:00","4"
"1.2.3.6","2c6","036","DCE","Mon 23 Oct 2000 03:18:31 GMT+00:00","4"
"1.2.3.6.1","2c6a","037","DCE","Mon 23 Oct 2000 03:18:40 GMT+00:00","5"
"1.2.3.6.2","2c6b","038","DCE","Mon 23 Oct 2000 03:18:40 GMT+00:00","5"
"1.2.3.6.2.1","2c6b1","039","DCE","Mon 23 Oct 2000 03:18:40 GMT+00:00","6"
"1.2.3.6.3","2c6c","040","DCE","Mon 23 Oct 2000 03:18:40 GMT+00:00","5"
"1.2.3.6.4","2c6d","041","DCE","Mon 23 Oct 2000 03:18:40 GMT+00:00","5"
"1.2.3.6.4.1","2c6d1","042","DCE","Wed 18 Oct 2000 07:32:29 GMT+00:00","6"
"1.2.3.6.4.2","2c6d2","043","DCE","Wed 18 Oct 2000 07:32:29 GMT+00:00","6"
"1.2.3.6.4.3","2c6d3","044","DCE","Fri 20 Oct 2000 00:42:33 GMT+00:00","6"
"1.2.3.7","2c7","045","DCE","Mon 23 Oct 2000 03:31:33 GMT+00:00","4"
"1.2.3.7.1","2c7a","046","DCE","Mon 23 Oct 2000 03:21:52 GMT+00:00","5"
"1.2.3.7.2","2c7b","047","DCE","Mon 23 Oct 2000 03:18:46 GMT+00:00","5"
"1.2.3.7.3","2c7c","048","DCE","Mon 23 Oct 2000 03:22:29 GMT+00:00","5"
"1.2.3.8","2c8","049","DCE","Mon 23 Oct 2000 03:22:39 GMT+00:00","4"
"1.2.3.8.1","2c8a","050","DCE","Mon 23 Oct 2000 02:40:08 GMT+00:00","5"
"1.2.3.8.2","2c8b","051","DCE","Mon 23 Oct 2000 03:23:28 GMT+00:00","5"
"1.2.3.9","2c9","052","DCE","Mon 23 Oct 2000 03:18:28 GMT+00:00","4"
"1.2.3.9.1","2c9a","053","DCE","Mon 23 Oct 2000 02:41:39 GMT+00:00","5"
"1.2.3.9.2","2c9b","054","DCE","Mon 23 Oct 2000 03:23:38 GMT+00:00","5"
"1.2.3.10","2c10","055","DCE","Mon 23 Oct 2000 03:18:27 GMT+00:00","4"
"1.2.3.10.1","2c10a","056","DCE","Sat 21 Oct 2000 00:12:53 GMT+00:00","5"
"1.2.3.10.2","2c10b","057","DCE","Mon 23 Oct 2000 03:24:09 GMT+00:00","5"
"1.2.3.10.3","2c10c","058","DCE","Thu 6 Apr 2000 01:40:06 GMT+00:00","5"
"1.2.3.11","2c11","059","DCE","Mon 23 Oct 2000 03:24:35 GMT+00:00","4"
"1.3","3","060","DCE","Mon 23 Oct 2000 02:44:57 GMT+00:00","2"
"1.3.1","3a","061","DCE","Mon 23 Oct 2000 02:46:19 GMT+00:00","3"
"1.3.2","3b","062","DCE","Mon 23 Oct 2000 02:54:05 GMT+00:00","3"
"1.3.3","3c","063","DCE","Mon 23 Oct 2000 02:56:05 GMT+00:00","3"
"1.3.4","3d","064","DCE","Mon 23 Oct 2000 03:24:58 GMT+00:00","3"
"1.3.5","3e","065","DCE","Mon 23 Oct 2000 03:25:26 GMT+00:00","3"
"1.3.6","3f","066","DCE","Mon 23 Oct 2000 03:25:37 GMT+00:00","3"
"1.3.6.1","3f1","067","DCE","Mon 23 Oct 2000 03:04:50 GMT+00:00","4"
"1.3.6.2","3f2","068","DCE","Mon 23 Oct 2000 03:04:58 GMT+00:00","4"
