"dotted_numeric","dotted_alphanumeric","nid","author","dtCreated","level"
"1","","","","","1"
"1.1","1","","","","2"
"1.1.1","1a","","","","3"
"1.1.1.1","1a1","","","","4"
"1.2","2","","","","2"
"1.2.1","2a","","","","3"
"1.2.1.1","2a1","","","","4"
"1.3","3","","","","2"
"1.3.1","3a","","","","3"
"1.3.1.1","3a1","","","","4"
"1.3.2","3b","","","","3"
"1.3.2.1","3b1","","","","4"
"1.3.3","3c","","","","3"
"1.3.3.1","3c1","","","","4"
"1.3.4","3d","","","","3"
"1.3.4.1","3d1","","","","4"
"1.4","4","","","","2"
"1.4.1","4a","","","","3"
"1.4.2","4b","","","","3"
"1.4.3","4c","","","","3"
"1.4.3.1","4c1","","","","4"
"1.4.3.2","4c2","","","","4"
"1.4.3.3","4c3","","","","4"
"1.5","5","","","","2"
"1.5.1","5a","","","","3"
"1.5.1.1","5a1","","","","4"
"1.6","6","","","","2"
"1.6.1","6a","","","","3"
"1.6.1.1","6a1","","","","4"
"1.7","7","","","","2"
"1.7.1","7a","","","","3"
"1.7.1.1","7a1","","","","4"
"1.8","8","","","","2"
"1.8.1","8a","","","","3"
"1.8.1.1","8a1","","","","4"
"1.8.1.1.1","8a1a","","","","5"
"1.8.1.2","8a2","","","","4"
"1.9","9","","","","2"
