"dotted_numeric","dotted_alphanumeric","nid","author","dtCreated"
"1","","","",""
"1.1","1","0594","BKN","Mon 15 May 2006 06:18:07 GMT+00:00"
"1.2","2","0595","BKN","Thu 4 May 2006 04:04:12 GMT+00:00"
"1.2.1","2a","0596","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.2.1.1","2a1","0598","BKN","Mon 15 May 2006 06:18:09 GMT+00:00"
"1.2.1.2","2a2","0599","BKN","Mon 15 May 2006 06:18:27 GMT+00:00"
"1.2.1.3","2a3","0602","BKN","Mon 15 May 2006 06:18:26 GMT+00:00"
"1.2.1.4","2a4","0607","BKN","Mon 15 May 2006 06:18:27 GMT+00:00"
"1.2.1.5","2a5","0612","BKN","Mon 15 May 2006 06:18:28 GMT+00:00"
"1.2.1.6","2a6","0613","BKN","Mon 15 May 2006 06:44:17 GMT+00:00"
"1.2.1.7","2a7","0614","BKN","Mon 15 May 2006 06:18:29 GMT+00:00"
"1.2.1.8","2a8","0611","BKN","Mon 15 May 2006 06:18:29 GMT+00:00"
"1.3","3","04","BKN","Tue 9 May 2006 06:45:56 GMT+00:00"
"1.3.1","3a","0601","BKN","Mon 15 May 2006 06:18:31 GMT+00:00"
"1.3.2","3b","0624","BKN","Thu 11 May 2006 01:28:44 GMT+00:00"
"1.3.2.1","3b1","013","BKN","Mon 15 May 2006 06:19:57 GMT+00:00"
"1.3.2.1.1","3b1a","015","BKN","Tue 9 May 2006 06:46:00 GMT+00:00"
"1.3.2.1.1.1","3b1a1","0133","BKN","Tue 9 May 2006 07:08:12 GMT+00:00"
"1.3.2.1.2","3b1b","016","BKN","Tue 9 May 2006 06:48:33 GMT+00:00"
"1.3.2.1.2.1","3b1b1","088","BKN","Tue 9 May 2006 06:55:16 GMT+00:00"
"1.3.2.1.2.1.1","3b1b1a","021","BKN","Thu 7 Dec 2006 01:27:53 GMT+00:00"
"1.3.2.1.2.1.2","3b1b1b","0135","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.1.2.1.3","3b1b1c","0136","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.1.2.1.4","3b1b1d","0137","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.1.2.1.5","3b1b1e","0848","BKN","Thu 7 Dec 2006 01:29:15 GMT+00:00"
"1.3.2.1.2.1.6","3b1b1f","0897","BKN","Thu 7 Dec 2006 01:47:34 GMT+00:00"
"1.3.2.1.2.1.7","3b1b1g","0899","BKN","Thu 7 Dec 2006 01:47:55 GMT+00:00"
"1.3.2.1.2.1.8","3b1b1h","0134","BKN","Tue 9 May 2006 07:08:18 GMT+00:00"
"1.3.2.1.2.1.9","3b1b1i","0849","BKN","Thu 7 Dec 2006 01:29:21 GMT+00:00"
"1.3.2.1.2.1.10","3b1b1j","0850","BKN","Thu 7 Dec 2006 01:29:23 GMT+00:00"
"1.3.2.1.2.1.11","3b1b1k","0851","BKN","Thu 7 Dec 2006 01:29:24 GMT+00:00"
"1.3.2.1.2.1.12","3b1b1l","0853","BKN","Thu 7 Dec 2006 01:30:26 GMT+00:00"
"1.3.2.1.2.1.13","3b1b1m","0900","BKN","Thu 7 Dec 2006 01:48:09 GMT+00:00"
"1.3.2.1.2.1.13.1","3b1b1m1","0901","BKN","Thu 7 Dec 2006 01:48:17 GMT+00:00"
"1.3.2.1.3","3b1c","019","BKN","Thu 7 Dec 2006 01:25:08 GMT+00:00"
"1.3.2.1.3.1","3b1c1","024","BKN","Thu 7 Dec 2006 01:26:07 GMT+00:00"
"1.3.2.1.3.1.1","3b1c1a","091","BKN","Thu 7 Dec 2006 01:27:57 GMT+00:00"
"1.3.2.1.4","3b1d","0823","BKN","Thu 7 Dec 2006 01:23:41 GMT+00:00"
"1.3.2.1.4.1","3b1d1","0828","BKN","Thu 7 Dec 2006 01:26:15 GMT+00:00"
"1.3.2.1.4.1.1","3b1d1a","0912","BKN","Thu 7 Dec 2006 01:53:09 GMT+00:00"
"1.3.2.1.5","3b1e","0826","BKN","Thu 7 Dec 2006 01:23:47 GMT+00:00"
"1.3.2.1.5.1","3b1e1","0832","BKN","Thu 7 Dec 2006 01:24:54 GMT+00:00"
"1.3.2.1.5.1.1","3b1e1a","0845","BKN","Thu 7 Dec 2006 01:27:18 GMT+00:00"
"1.3.2.1.5.1.2","3b1e1b","0846","BKN","Thu 7 Dec 2006 01:27:22 GMT+00:00"
"1.3.2.1.5.1.3","3b1e1c","0847","BKN","Thu 7 Dec 2006 01:27:26 GMT+00:00"
"1.3.2.1.5.1.4","3b1e1d","0898","BKN","Thu 7 Dec 2006 01:47:42 GMT+00:00"
"1.3.2.1.6","3b1f","0824","BKN","Thu 7 Dec 2006 01:23:44 GMT+00:00"
"1.3.2.1.6.1","3b1f1","0830","BKN","Thu 7 Dec 2006 01:24:22 GMT+00:00"
"1.3.2.1.6.1.1","3b1f1a","0852","BKN","Thu 7 Dec 2006 01:29:32 GMT+00:00"
"1.3.2.1.7","3b1g","0825","BKN","Thu 7 Dec 2006 01:23:45 GMT+00:00"
"1.3.2.1.7.1","3b1g1","0831","BKN","Thu 7 Dec 2006 01:24:30 GMT+00:00"
"1.3.2.1.7.1.1","3b1g1a","0844","BKN","Thu 7 Dec 2006 01:27:10 GMT+00:00"
"1.3.2.1.7.1.2","3b1g1b","0841","BKN","Thu 7 Dec 2006 01:27:01 GMT+00:00"
"1.3.2.1.7.1.3","3b1g1c","0842","BKN","Thu 7 Dec 2006 01:27:02 GMT+00:00"
"1.3.2.1.7.1.4","3b1g1d","0843","BKN","Thu 7 Dec 2006 01:27:03 GMT+00:00"
"1.3.2.1.8","3b1h","020","BKN","Thu 7 Dec 2006 01:25:14 GMT+00:00"
"1.3.2.1.8.1","3b1h1","025","BKN","Thu 7 Dec 2006 01:26:21 GMT+00:00"
"1.3.2.1.8.1.1","3b1h1a","0839","BKN","Thu 7 Dec 2006 01:28:05 GMT+00:00"
"1.3.2.1.8.1.2","3b1h1b","0913","BKN","Thu 7 Dec 2006 01:53:17 GMT+00:00"
"1.3.2.1.9","3b1i","0833","BKN","Thu 7 Dec 2006 01:25:18 GMT+00:00"
"1.3.2.1.9.1","3b1i1","0834","BKN","Thu 7 Dec 2006 01:25:22 GMT+00:00"
"1.3.2.1.9.1.1","3b1i1a","0879","BKN","Thu 7 Dec 2006 01:44:48 GMT+00:00"
"1.3.2.1.9.1.1.1","3b1i1a1","0880","BKN","Thu 7 Dec 2006 01:44:57 GMT+00:00"
"1.3.2.1.9.1.1.2","3b1i1a2","0881","BKN","Thu 7 Dec 2006 01:45:01 GMT+00:00"
"1.3.2.1.9.1.1.3","3b1i1a3","0882","BKN","Thu 7 Dec 2006 01:45:05 GMT+00:00"
