"dotted_numeric","dotted_alphanumeric","nid","author","dtCreated"
"1","","","",""
"1.1","1","0594","","Mon 15 May 2006 06:18:07 GMT+00:00"
"1.2","2","0595","","Thu 4 May 2006 04:04:12 GMT+00:00"
"1.2.1","2a","0596","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.2.1.1","2a1","0598","","Mon 15 May 2006 06:18:09 GMT+00:00"
"1.2.1.2","2a2","0599","","Mon 15 May 2006 06:18:27 GMT+00:00"
"1.2.1.3","2a3","0602","","Mon 15 May 2006 06:18:26 GMT+00:00"
"1.2.1.4","2a4","0607","","Mon 15 May 2006 06:18:27 GMT+00:00"
"1.2.1.5","2a5","0612","","Mon 15 May 2006 06:18:28 GMT+00:00"
"1.2.1.6","2a6","0613","","Mon 15 May 2006 06:44:17 GMT+00:00"
"1.2.1.7","2a7","0614","","Mon 15 May 2006 06:18:29 GMT+00:00"
"1.2.1.8","2a8","0611","","Mon 15 May 2006 06:18:29 GMT+00:00"
"1.3","3","04","","Tue 9 May 2006 06:45:56 GMT+00:00"
"1.3.1","3a","0601","","Mon 15 May 2006 06:18:31 GMT+00:00"
"1.3.2","3b","0624","","Thu 11 May 2006 01:28:44 GMT+00:00"
"1.3.2.1","3b1","013","","Mon 15 May 2006 06:19:57 GMT+00:00"
"1.3.2.1.1","3b1a","015","","Tue 9 May 2006 06:46:00 GMT+00:00"
"1.3.2.1.1.1","3b1a1","0133","","Tue 9 May 2006 07:08:12 GMT+00:00"
"1.3.2.1.2","3b1b","016","","Tue 9 May 2006 06:48:33 GMT+00:00"
"1.3.2.1.2.1","3b1b1","088","","Tue 9 May 2006 06:55:16 GMT+00:00"
"1.3.2.1.2.1.1","3b1b1a","021","","Tue 9 May 2006 06:47:33 GMT+00:00"
"1.3.2.1.2.1.2","3b1b1b","0135","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.1.2.1.3","3b1b1c","0136","","Thu 11 May 2006 00:10:24 GMT+00:00"
