"dotted_numeric","dotted_alphanumeric","nid","author","dtCreated","level"
"1","","","","","1"
"1.1","1","0178","DCE","Fri 9 Dec 1983 00:21:23 GMT+00:00","2"
"1.2","2","0366","DCE","Sun 4 Dec 1983 06:43:12 GMT+00:00","2"
"1.2.1","2a","0409","DCE","Wed 7 Dec 1983 07:52:25 GMT+00:00","3"
"1.3","3","068","DCE","Sun 4 Dec 1983 06:43:12 GMT+00:00","2"
"1.3.1","3a","0335","DCE","Tue 22 Nov 1983 06:28:04 GMT+00:00","3"
"1.3.2","3b","0337","DCE","Tue 6 Dec 1983 06:06:32 GMT+00:00","3"
"1.3.3","3c","0201","DCE","Tue 22 Nov 1983 06:34:51 GMT+00:00","3"
"1.3.4","3d","0312","DCE","Mon 5 Dec 1983 00:22:08 GMT+00:00","3"
"1.3.5","3e","076","DCE","Tue 6 Dec 1983 06:07:03 GMT+00:00","3"
"1.3.6","3f","0326","DCE","Tue 6 Dec 1983 06:06:44 GMT+00:00","3"
"1.3.7","3g","0235","DCE","Thu 8 Dec 1983 00:02:48 GMT+00:00","3"
"1.4","4","0338","DCE","Sun 4 Dec 1983 06:43:11 GMT+00:00","2"
"1.4.1","4a","0339","DCE","Tue 22 Nov 1983 07:13:19 GMT+00:00","3"
"1.4.1.1","4a1","075","DCE","Thu 8 Dec 1983 00:03:00 GMT+00:00","4"
"1.4.1.2","4a2","092","DCE","Thu 8 Dec 1983 00:04:03 GMT+00:00","4"
"1.4.2","4b","0313","DCE","Wed 16 Nov 1983 06:48:18 GMT+00:00","3"
"1.4.2.1","4b1","0211","DCE","Thu 8 Dec 1983 00:04:12 GMT+00:00","4"
"1.4.2.2","4b2","0214","DCE","Tue 6 Dec 1983 06:07:44 GMT+00:00","4"
"1.4.2.3","4b3","0314","DCE","Tue 22 Nov 1983 07:25:42 GMT+00:00","4"
"1.4.2.4","4b4","0347","DCE","Tue 22 Nov 1983 07:25:42 GMT+00:00","4"
"1.4.2.5","4b5","0215","SSM","Wed 21 Oct 1981 07:17:13 GMT+00:00","4"
"1.4.3","4c","0237","DCE","Fri 29 Jan 1982 05:15:29 GMT+00:00","3"
"1.4.3.1","4c1","0238","DCE","Thu 8 Dec 1983 00:04:29 GMT+00:00","4"
"1.4.3.2","4c2","0241","DCE","Thu 8 Dec 1983 00:01:20 GMT+00:00","4"
"1.5","5","0218","DCE","Mon 5 Dec 1983 00:22:26 GMT+00:00","2"
"1.5.1","5a","0234","DCE","Wed 16 Nov 1983 06:46:58 GMT+00:00","3"
"1.5.2","5b","0219","DCE","Sun 4 Dec 1983 01:02:52 GMT+00:00","3"
"1.5.3","5c","0351","DCE","Thu 8 Dec 1983 00:04:44 GMT+00:00","3"
"1.5.4","5d","0352","DCE","Thu 8 Dec 1983 00:04:58 GMT+00:00","3"
"1.5.5","5e","0350","DCE","Thu 8 Dec 1983 00:05:15 GMT+00:00","3"
"1.5.6","5f","0353","DCE","Tue 6 Dec 1983 07:03:53 GMT+00:00","3"
"1.5.7","5g","0232","DCE","Fri 2 Dec 1983 07:51:59 GMT+00:00","3"
"1.5.8","5h","0354","DCE","Mon 5 Dec 1983 00:20:34 GMT+00:00","3"
"1.6","6","0239","DCE","Mon 5 Dec 1983 00:22:33 GMT+00:00","2"
"1.6.1","6a","0240","DCE","Thu 8 Dec 1983 00:05:39 GMT+00:00","3"
"1.6.2","6b","0242","DCE","Sun 4 Dec 1983 00:56:00 GMT+00:00","3"
"1.6.2.1","6b1","0367","DCE","Sun 4 Dec 1983 00:55:59 GMT+00:00","4"
"1.6.2.2","6b2","0243","EKM","Wed 7 Dec 1983 06:55:17 GMT+00:00","4"
"1.6.2.3","6b3","0244","DCE","Thu 8 Dec 1983 00:06:03 GMT+00:00","4"
"1.6.2.4","6b4","0245","DCE","Thu 8 Dec 1983 00:08:47 GMT+00:00","4"
"1.6.2.5","6b5","0359","EKM","Wed 7 Dec 1983 06:56:39 GMT+00:00","4"
"1.6.2.6","6b6","0246","DCE","Thu 8 Dec 1983 00:09:03 GMT+00:00","4"
"1.6.3","6c","0248","DCE","Sun 4 Dec 1983 00:57:10 GMT+00:00","3"
"1.6.3.1","6c1","0368","DCE","Tue 6 Dec 1983 06:09:00 GMT+00:00","4"
"1.6.3.2","6c2","0249","DCE","Tue 6 Dec 1983 06:09:48 GMT+00:00","4"
"1.6.3.3","6c3","0247","DCE","Thu 8 Dec 1983 00:09:17 GMT+00:00","4"
"1.6.3.3.1","6c3a","0343","DCE","Sun 4 Dec 1983 06:59:36 GMT+00:00","5"
"1.6.3.3.2","6c3b","0346","DCE","Sun 4 Dec 1983 06:59:37 GMT+00:00","5"
"1.6.3.3.3","6c3c","0345","DCE","Sun 4 Dec 1983 06:59:37 GMT+00:00","5"
"1.6.3.3.4","6c3d","0344","DCE","Sun 4 Dec 1983 06:59:37 GMT+00:00","5"
"1.6.3.3.5","6c3e","0342","DCE","Sun 4 Dec 1983 06:59:37 GMT+00:00","5"
"1.6.4","6d","0250","DCE","Sun 4 Dec 1983 00:57:19 GMT+00:00","3"
"1.6.4.1","6d1","0369","DCE","Thu 8 Dec 1983 00:09:35 GMT+00:00","4"
"1.6.4.2","6d2","0251","DCE","Thu 17 Nov 1983 00:37:23 GMT+00:00","4"
"1.6.5","6e","0321","DCE","Thu 17 Nov 1983 01:38:28 GMT+00:00","3"
"1.6.5.1","6e1","0252","DCE","Tue 6 Dec 1983 06:22:19 GMT+00:00","4"
"1.6.5.2","6e2","0253","DCE","Mon 5 Dec 1983 00:29:11 GMT+00:00","4"
"1.6.5.3","6e3","0362","DCE","Thu 8 Dec 1983 00:10:21 GMT+00:00","4"
"1.6.6","6f","0322","DCE","Fri 18 Nov 1983 00:23:54 GMT+00:00","3"
"1.6.6.1","6f1","0254","DCE","Thu 8 Dec 1983 00:10:32 GMT+00:00","4"
"1.6.7","6g","0257","DCE","Sun 4 Dec 1983 00:57:39 GMT+00:00","3"
"1.6.7.1","6g1","0370","DCE","Sun 4 Dec 1983 00:57:39 GMT+00:00","4"
"1.6.7.2","6g2","0258","DCE","Thu 8 Dec 1983 00:10:38 GMT+00:00","4"
"1.6.7.3","6g3","0259","DCE","Thu 8 Dec 1983 00:10:48 GMT+00:00","4"
"1.6.7.4","6g4","0260","DCE","Thu 8 Dec 1983 00:11:12 GMT+00:00","4"
"1.6.8","6h","0256","DCE","Tue 6 Dec 1983 06:24:33 GMT+00:00","3"
"1.7","7","0263","DCE","Mon 5 Dec 1983 00:22:36 GMT+00:00","2"
"1.7.1","7a","0372","DCE","Tue 6 Dec 1983 06:24:46 GMT+00:00","3"
"1.7.2","7b","0262","EKM","Wed 7 Dec 1983 06:45:25 GMT+00:00","3"
"1.7.2.1","7b1","0424","EKM","Wed 7 Dec 1983 06:45:25 GMT+00:00","4"
"1.7.2.2","7b2","0363","DCE","Tue 6 Dec 1983 06:29:34 GMT+00:00","4"
"1.7.2.3","7b3","0264","DCE","Thu 8 Dec 1983 00:11:51 GMT+00:00","4"
"1.7.3","7c","0425","EKM","Wed 7 Dec 1983 06:45:30 GMT+00:00","3"
"1.7.3.1","7c1","0265","DCE","Thu 8 Dec 1983 00:12:04 GMT+00:00","4"
"1.7.3.2","7c2","0266","DCE","Tue 6 Dec 1983 06:30:01 GMT+00:00","4"
"1.7.3.3","7c3","0267","DCE","Tue 6 Dec 1983 06:30:15 GMT+00:00","4"
"1.7.3.4","7c4","0268","DCE","Sun 4 Dec 1983 00:59:02 GMT+00:00","4"
"1.7.3.5","7c5","0364","DCE","Sun 4 Dec 1983 00:28:07 GMT+00:00","4"
"1.7.3.6","7c6","0269","DCE","Tue 6 Dec 1983 06:30:32 GMT+00:00","4"
"1.7.3.7","7c7","0270","DCE","Tue 6 Dec 1983 06:31:08 GMT+00:00","4"
"1.7.3.8","7c8","0271","DCE","Tue 6 Dec 1983 06:31:41 GMT+00:00","4"
"1.7.4","7d","0272","EKM","Wed 7 Dec 1983 06:45:34 GMT+00:00","3"
"1.7.4.1","7d1","0426","EKM","Wed 7 Dec 1983 06:45:33 GMT+00:00","4"
"1.7.4.2","7d2","0273","DCE","Thu 17 Nov 1983 06:59:50 GMT+00:00","4"
"1.7.4.3","7d3","0274","DCE","Tue 6 Dec 1983 06:32:40 GMT+00:00","4"
"1.8","8","0275","DCE","Thu 8 Dec 1983 00:12:24 GMT+00:00","2"
"1.8.1","8a","0276","DCE","Thu 8 Dec 1983 00:12:27 GMT+00:00","3"
"1.8.2","8b","0277","DCE","Thu 8 Dec 1983 00:12:44 GMT+00:00","3"
"1.9","9","0280","DCE","Mon 5 Dec 1983 00:22:53 GMT+00:00","2"
"1.9.1","9a","0281","DCE","Thu 8 Dec 1983 00:13:01 GMT+00:00","3"
"1.9.2","9b","0283","DCE","Thu 8 Dec 1983 00:13:11 GMT+00:00","3"
"1.9.3","9c","0284","DCE","Thu 8 Dec 1983 00:13:16 GMT+00:00","3"
"1.9.4","9d","0285","DCE","Thu 8 Dec 1983 00:14:27 GMT+00:00","3"
"1.9.4.1","9d1","0286","EKM","Wed 7 Dec 1983 06:58:32 GMT+00:00","4"
"1.9.4.2","9d2","0287","EKM","Wed 7 Dec 1983 06:58:33 GMT+00:00","4"
"1.9.5","9e","0288","DCE","Thu 8 Dec 1983 00:14:57 GMT+00:00","3"
"1.9.6","9f","0329","DCE","Thu 8 Dec 1983 00:15:10 GMT+00:00","3"
"1.10","10","0289","DCE","Mon 5 Dec 1983 00:23:00 GMT+00:00","2"
"1.10.1","10a","0290","DCE","Mon 5 Dec 1983 00:21:21 GMT+00:00","3"
"1.10.2","10b","0291","DCE","Sun 4 Dec 1983 00:59:20 GMT+00:00","3"
"1.10.2.1","10b1","0292","DCE","Tue 6 Dec 1983 06:58:47 GMT+00:00","4"
"1.10.3","10c","0293","DCE","Thu 8 Dec 1983 00:15:31 GMT+00:00","3"
"1.10.3.1","10c1","0365","DCE","Thu 8 Dec 1983 00:15:43 GMT+00:00","4"
"1.10.3.2","10c2","0294","DCE","Tue 6 Dec 1983 06:59:33 GMT+00:00","4"
"1.10.3.3","10c3","0295","DCE","Thu 8 Dec 1983 00:15:53 GMT+00:00","4"
"1.10.3.4","10c4","0331","DCE","Thu 8 Dec 1983 00:16:05 GMT+00:00","4"
"1.10.3.5","10c5","0298","DCE","Tue 6 Dec 1983 07:00:16 GMT+00:00","4"
"1.10.3.6","10c6","0297","DCE","Sun 4 Dec 1983 00:46:52 GMT+00:00","4"
"1.10.3.7","10c7","0325","DCE","Thu 8 Dec 1983 00:16:25 GMT+00:00","4"
"1.10.4","10d","0300","DCE","Sun 4 Dec 1983 00:59:22 GMT+00:00","3"
"1.10.4.1","10d1","0301","DCE","Sun 4 Dec 1983 00:49:50 GMT+00:00","4"
"1.10.4.2","10d2","0355","DCE","Sat 3 Dec 1983 00:23:03 GMT+00:00","4"
"1.10.4.3","10d3","0357","DCE","Sat 3 Dec 1983 00:23:04 GMT+00:00","4"
"1.10.4.4","10d4","0427","EKM","Wed 7 Dec 1983 07:00:16 GMT+00:00","4"
"1.10.4.5","10d5","0302","DCE","Thu 8 Dec 1983 00:17:43 GMT+00:00","4"
"1.10.4.6","10d6","0303","DCE","Sat 3 Dec 1983 00:27:24 GMT+00:00","4"
"1.11","11","0304","DCE","Mon 5 Dec 1983 00:23:09 GMT+00:00","2"
"1.11.1","11a","0305","DCE","Fri 18 Nov 1983 00:44:14 GMT+00:00","3"
"1.11.2","11b","0308","DCE","Fri 18 Nov 1983 00:44:22 GMT+00:00","3"
"1.11.3","11c","0306","DCE","Thu 8 Dec 1983 00:18:01 GMT+00:00","3"
"1.11.4","11d","0307","DCE","Tue 6 Dec 1983 07:03:23 GMT+00:00","3"
"1.11.5","11e","0332","DCE","Mon 5 Dec 1983 00:36:01 GMT+00:00","3"
"1.12","12","0375","DCE","Sun 4 Dec 1983 07:52:30 GMT+00:00","2"
"1.12.1","12a","0397","DCE","Thu 8 Dec 1983 00:19:02 GMT+00:00","3"
"1.12.2","12b","0430","DCE","Thu 8 Dec 1983 00:19:02 GMT+00:00","3"
"1.12.3","12c","0399","DCE","Tue 6 Dec 1983 07:53:19 GMT+00:00","3"
"1.12.4","12d","0400","DCE","Thu 8 Dec 1983 00:20:12 GMT+00:00","3"
"1.12.5","12e","0431","DCE","Thu 8 Dec 1983 00:20:15 GMT+00:00","3"
"1.12.6","12f","0403","DCE","Tue 6 Dec 1983 07:46:58 GMT+00:00","3"
"1.12.7","12g","0404","DCE","Tue 6 Dec 1983 07:48:14 GMT+00:00","3"
"1.13","13","0384","DCE","Mon 5 Dec 1983 00:00:47 GMT+00:00","2"
"1.13.1","13a","0385","DCE","Thu 8 Dec 1983 00:20:43 GMT+00:00","3"
"1.13.2","13b","0393","DCE","Thu 8 Dec 1983 00:20:45 GMT+00:00","3"
"1.13.3","13c","0395","DCE","Thu 8 Dec 1983 00:20:53 GMT+00:00","3"
"1.13.4","13d","0396","DCE","Mon 5 Dec 1983 00:20:06 GMT+00:00","3"
"1.13.5","13e","0387","DCE","Thu 8 Dec 1983 00:20:56 GMT+00:00","3"
"1.13.6","13f","0389","DCE","Mon 5 Dec 1983 00:20:09 GMT+00:00","3"
"1.13.7","13g","0390","DCE","Thu 8 Dec 1983 00:21:01 GMT+00:00","3"
"1.13.8","13h","0388","DCE","Thu 8 Dec 1983 00:21:32 GMT+00:00","3"
"1.14","14","0434","DCE","Fri 9 Dec 1983 00:13:51 GMT+00:00","2"
"1.15","15","0470","DCE","Fri 9 Dec 1983 07:50:06 GMT+00:00","2"
"1.15.1","15a","0471","DCE","Fri 9 Dec 1983 07:51:48 GMT+00:00","3"
"1.15.1.1","15a1","0473","DCE","Sat 10 Dec 1983 00:02:57 GMT+00:00","4"
"1.15.1.2","15a2","0474","DCE","Sat 10 Dec 1983 00:03:34 GMT+00:00","4"
"1.15.1.3","15a3","0475","DCE","Sat 10 Dec 1983 00:05:11 GMT+00:00","4"
"1.15.2","15b","0472","DCE","Fri 9 Dec 1983 07:51:49 GMT+00:00","3"
"1.15.2.1","15b1","0481","DCE","Sat 10 Dec 1983 00:02:57 GMT+00:00","4"
"1.15.2.2","15b2","0482","DCE","Sat 10 Dec 1983 00:09:38 GMT+00:00","4"
"1.15.2.3","15b3","0483","DCE","Sat 10 Dec 1983 00:05:11 GMT+00:00","4"
"1.15.3","15c","0484","DCE","Sat 10 Dec 1983 00:31:21 GMT+00:00","3"
"1.15.3.1","15c1","0443","DCE","Sat 10 Dec 1983 00:02:00 GMT+00:00","4"
"1.15.3.1.1","15c1a","0479","DCE","Mon 12 Jul 1982 06:51:45 GMT+00:00","5"
"1.15.3.1.2","15c1b","0444","DCE","Fri 9 Dec 1983 06:25:45 GMT+00:00","5"
"1.15.3.1.2.1","15c1b1","0445","DCE","Fri 9 Dec 1983 06:25:56 GMT+00:00","6"
