"dotted_numeric","dotted_alphanumeric","nid","author","dtCreated","level"
"1","","","","","1"
"1.1","1","","","","2"
"1.2","2","","","","2"
"1.3","3","","","","2"
"1.4","4","","","","2"
"2.1","1","","","","2"
"2.2","2","","","","2"
"2.3","3","","","","2"
"2.4","4","","","","2"
"3.1","1","","","","2"
"3.2","2","","","","2"
"3.3","3","","","","2"
"3.4","4","","","","2"
"4.1","1","","","","2"
"5.1","1","","","","2"
"5.2","2","","","","2"
"5.3","3","","","","2"
"5.4","4","","","","2"
"6.1","1","","","","2"
"6.2","2","","","","2"
"6.3","3","","","","2"
"6.4","4","","","","2"
"7.1","1","","","","2"
"7.2","2","","","","2"
"7.3","3","","","","2"
"7.4","4","","","","2"
"8.1","1","","","","2"
"9.1","1","","","","2"
"9.2","2","","","","2"
"9.3","3","","","","2"
"9.4","4","","","","2"
"10.1","1","","","","2"
"10.2","2","","","","2"
"10.3","3","","","","2"
"10.4","4","","","","2"
"11.1","1","","","","2"
"11.2","2","","","","2"
"11.3","3","","","","2"
"11.4","4","","","","2"
"12.1","1","","","","2"
"13.1","1","","","","2"
"13.2","2","","","","2"
"13.3","3","","","","2"
"13.4","4","","","","2"
"14.1","1","","","","2"
"14.2","2","","","","2"
"14.3","3","","","","2"
"14.4","4","","","","2"
"15.1","1","","","","2"
"15.2","2","","","","2"
"15.3","3","","","","2"
"15.4","4","","","","2"
"16.1","1","","","","2"
"17.1","1","","","","2"
"17.2","2","","","","2"
"17.3","3","","","","2"
"17.4","4","","","","2"
"18.1","1","","","","2"
"18.2","2","","","","2"
"18.3","3","","","","2"
"18.4","4","","","","2"
"19.1","1","","","","2"
"19.2","2","","","","2"
"19.3","3","","","","2"
"19.4","4","","","","2"
"20.1","1","","","","2"
"21.1","1","","","","2"
"21.2","2","","","","2"
"21.3","3","","","","2"
"21.4","4","","","","2"
"22.1","1","","","","2"
"22.2","2","","","","2"
"22.3","3","","","","2"
"22.4","4","","","","2"
"23.1","1","","","","2"
"23.2","2","","","","2"
"23.3","3","","","","2"
"23.4","4","","","","2"
"24.1","1","","","","2"
