"dotted_numeric","dotted_alphanumeric","nid","author","dtCreated"
"1","","","",""
"1.1","1","02","THOM","Thu 27 Sep 1979 05:37:33 GMT+00:00"
"1.1.1","1a","03","CE","Tue 17 Oct 1995 07:25:37 GMT+00:00"
"1.1.2","1b","088","CE","Wed 13 Sep 1995 04:15:32 GMT+00:00"
"1.2","2","0144","CE","Wed 13 Sep 1995 04:17:42 GMT+00:00"
"1.2.1","2a","0145","CE","Wed 24 Apr 1996 04:48:35 GMT+00:00"
"1.2.1.1","2a1","0148","CE","Wed 24 Apr 1996 04:48:57 GMT+00:00"
"1.2.1.2","2a2","0150","CE","Tue 23 Apr 1996 07:23:47 GMT+00:00"
"1.2.1.3","2a3","0149","CE","Fri 17 Apr 1998 06:46:17 GMT+00:00"
"1.2.1.4","2a4","0151","CE","Fri 17 Apr 1998 06:46:29 GMT+00:00"
"1.2.2","2b","0251","CE","Thu 19 Oct 1995 04:46:24 GMT+00:00"
"1.3","3","090","CE","Wed 13 Sep 1995 04:15:40 GMT+00:00"
"1.3.1","3a","0252","CE","Tue 23 Apr 1996 07:28:29 GMT+00:00"
"1.3.1.1","3a1","0164","CE","Fri 17 Apr 1998 06:47:00 GMT+00:00"
"1.3.1.2","3a2","0163","CE","Tue 17 Oct 1995 07:31:33 GMT+00:00"
"1.3.1.3","3a3","0142","CE","Fri 17 Apr 1998 06:47:21 GMT+00:00"
"1.3.1.4","3a4","0195","CE","Tue 23 Apr 1996 07:28:44 GMT+00:00"
"1.3.2","3b","0193","CE","Tue 23 Apr 1996 07:28:18 GMT+00:00"
"1.3.2.1","3b1","083","CE","Wed 13 Sep 1995 04:32:22 GMT+00:00"
"1.3.2.1.1","3b1a","0196","CE","Fri 17 Apr 1998 06:47:37 GMT+00:00"
"1.4","4","0199","CE","Tue 17 Oct 1995 07:52:52 GMT+00:00"
"1.4.1","4a","0200","CE","Tue 23 Apr 1996 07:33:19 GMT+00:00"
"1.4.1.1","4a1","0253","CE","Fri 17 Apr 1998 06:48:42 GMT+00:00"
"1.4.2","4b","0201","CE","Wed 18 Oct 1995 02:15:58 GMT+00:00"
"1.4.2.1","4b1","0202","CE","Fri 17 Apr 1998 06:49:26 GMT+00:00"
"1.5","5","0165","CE","Tue 17 Oct 1995 07:52:55 GMT+00:00"
"1.5.1","5a","0166","CE","Wed 24 Apr 1996 04:58:20 GMT+00:00"
"1.5.2","5b","0262","CE","Wed 24 Apr 1996 04:58:24 GMT+00:00"
"1.5.2.1","5b1","0264","CE","Wed 24 Apr 1996 00:12:05 GMT+00:00"
"1.5.2.2","5b2","0263","CE","Fri 17 Apr 1998 06:50:17 GMT+00:00"
"1.5.2.3","5b3","0266","CE","Wed 24 Apr 1996 04:58:50 GMT+00:00"
"1.5.3","5c","0265","CE","Wed 24 Apr 1996 00:10:36 GMT+00:00"
"1.5.4","5d","0167","CE","Wed 18 Oct 1995 05:32:07 GMT+00:00"
"1.5.4.1","5d1","0174","CE","Tue 23 Apr 1996 07:37:13 GMT+00:00"
"1.5.4.2","5d2","0175","CE","Wed 13 Sep 1995 05:44:15 GMT+00:00"
"1.6","6","0203","CE","Wed 18 Oct 1995 00:04:30 GMT+00:00"
"1.6.1","6a","0152","CE","Wed 24 Apr 1996 05:04:01 GMT+00:00"
"1.6.1.1","6a1","0224","CE","Wed 24 Apr 1996 05:04:44 GMT+00:00"
"1.6.2","6b","0237","CE","Fri 17 Apr 1998 06:51:29 GMT+00:00"
