"dotted_numeric","dotted_alphanumeric","nid","author","dtCreated","Match_Count","Line Number","Text"
"1","","","","","2","",""
"1","","","","","","1","<BI, USER2:EXPD, TUTOR-BROWSER.AUG.3,>, 13-Aug-98 15:30-PDT CE"
"1","","","","","","2",";;;;"
"1.1","1","02","THOM","Thu 27 Sep 1979 05:37:33 GMT+00:00","1","",""
"1.1","","","","","","1","INTRODUCTION"
"1.1.1","1a","03","CE","Tue 17 Oct 1995 07:25:37 GMT+00:00","6","",""
"1.1.1","","","","","","1","Welcome to the AUGMENT Browser!  This file is a sort of"
"1.1.1","","","","","","2","&quot;programmed text&quot; for new users.  By following the"
"1.1.1","","","","","","3","instructions contained in it, you should be able to learn by"
"1.1.1","","","","","","4","yourself how to use many of the unique and powerful features of"
"1.1.1","","","","","","5","this system.  In this lesson you will learn the basics of"
"1.1.1","","","","","","6","browsing AUGMENT files."
"1.1.2","1b","088","CE","Wed 13 Sep 1995 04:15:32 GMT+00:00","1","",""
"1.1.2","","","","","","1","Don't worry if you make a mistake -- you can't hurt anything."
"1.2","2","0144","CE","Wed 13 Sep 1995 04:17:42 GMT+00:00","1","",""
"1.2","","","","","","1","AUGMENTED BROWSING"
"1.2.1","2a","0145","CE","Wed 24 Apr 1996 04:48:35 GMT+00:00","5","",""
"1.2.1","","","","","","1","The AUGMENT Browser provides some of the power and efficiency of"
"1.2.1","","","","","","2","AUGMENT in a simple, easy-to-use format which looks and feels"
"1.2.1","","","","","","3","pretty much like the browsers you normally use. The simplest"
"1.2.1","","","","","","4","form of the AUGMENT Browser, &quot;User Class 1&quot;, offers"
"1.2.1","","","","","","5","these value-added features:"
"1.2.1.1","2a1","0148","CE","Wed 24 Apr 1996 04:48:57 GMT+00:00","1","",""
"1.2.1.1","","","","","","1","* Zoom  buttons for zooming in and out of structure"
"1.2.1.2","2a2","0150","CE","Tue 23 Apr 1996 07:23:47 GMT+00:00","3","",""
"1.2.1.2","","","","","","1","* unified access into a &quot;living&quot; repository of"
"1.2.1.2","","","","","","2","documents, email   and other dialog records, intelligence"
"1.2.1.2","","","","","","3","collections, briefings,   source code, workflow, etc."
"1.2.1.3","2a3","0149","CE","Fri 17 Apr 1998 06:46:17 GMT+00:00","1","",""
"1.2.1.3","","","","","","1","* automatic numbering of each object for easy reference"
"1.2.1.4","2a4","0151","CE","Fri 17 Apr 1998 06:46:29 GMT+00:00","1","",""
"1.2.1.4","","","","","","1","* use of the numbers and custom view settings inside URL links"
"1.2.2","2b","0251","CE","Thu 19 Oct 1995 04:46:24 GMT+00:00","1","",""
"1.2.2","","","","","","1","Let's begin with zooming."
"1.3","3","090","CE","Wed 13 Sep 1995 04:15:40 GMT+00:00","1","",""
"1.3","","","","","","1","ZOOMING"
"1.3.1","3a","0252","CE","Tue 23 Apr 1996 07:28:29 GMT+00:00","8","",""
"1.3.1","","","","","","1","Most files in a knowledge repository have a logical structure,"
"1.3.1","","","","","","2","be it a document, email, meeting records, source code, work"
"1.3.1","","","","","","3","breakdown, briefings, or time logs. For example, this tutor file"
"1.3.1","","","","","","4","is structured with the headings, paragraphs, and lists. AUGMENT"
"1.3.1","","","","","","5","actually uses this structure for rapid and efficient browsing."
"1.3.1","","","","","","6","Using the Zoom buttons provided in the left margin, you can"
"1.3.1","","","","","","7","quickly zoom in and out of the structure for less or more detail"
"1.3.1","","","","","","8","on a particular topic:"
"1.3.1.1","3a1","0164","CE","Fri 17 Apr 1998 06:47:00 GMT+00:00","3","",""
"1.3.1.1","","","","","","1","FULL VIEW:   The rightmost button provides a &quot;normal&quot;"
"1.3.1.1","","","","","","2","view, or                        &quot;full&quot; view (the same"
"1.3.1.1","","","","","","3","view you have now)."
"1.3.1.2","3a2","0163","CE","Tue 17 Oct 1995 07:31:33 GMT+00:00","1","",""
"1.3.1.2","","","","","","1","ZOOM OUT:  The leftmost button zooms OUT to an outline view."
"1.3.1.3","3a3","0142","CE","Fri 17 Apr 1998 06:47:21 GMT+00:00","2","",""
"1.3.1.3","","","","","","1","ZOOM IN:     The middle button zooms IN for a more detailed"
"1.3.1.3","","","","","","2","outline view."
"1.3.1.4","3a4","0195","CE","Tue 23 Apr 1996 07:28:44 GMT+00:00","3","",""
"1.3.1.4","","","","","","1","Note that all three buttons will hoist, or &quot;Jump&quot; the"
"1.3.1.4","","","","","","2","associated heading or paragraph to the top of the viewing"
"1.3.1.4","","","","","","3","window."
"1.3.2","3b","0193","CE","Tue 23 Apr 1996 07:28:18 GMT+00:00","1","",""
"1.3.2","","","","","","1","Now try it."
"1.3.2.1","3b1","083","CE","Wed 13 Sep 1995 04:32:22 GMT+00:00","1","",""
"1.3.2.1","","","","","","1","=> Zooming Instructions:"
"1.3.2.1.1","3b1a","0196","CE","Fri 17 Apr 1998 06:47:37 GMT+00:00","4","",""
"1.3.2.1.1","","","","","","1","1)  First, note where you are now so you can find your way"
"1.3.2.1.1","","","","","","2","back.2)  Click on the Zoom Buttons to explore this tutorial"
"1.3.2.1.1","","","","","","3","file.3)  Return to this ZOOMING section with a full view when"
"1.3.2.1.1","","","","","","4","finished."
"1.4","4","0199","CE","Tue 17 Oct 1995 07:52:52 GMT+00:00","1","",""
"1.4","","","","","","1","KNOWLEDGE REPOSITORIES"
"1.4.1","4a","0200","CE","Tue 23 Apr 1996 07:33:19 GMT+00:00","8","",""
"1.4.1","","","","","","1","A knowledge repository is typically a collection of knowledge,"
"1.4.1","","","","","","2","such as a web site, news group, online conference, or digital"
"1.4.1","","","","","","3","library.  The largest repository on the AUGMENT host is the"
"1.4.1","","","","","","4","AUGMENT reference library -- the published documents about"
"1.4.1","","","","","","5","AUGMENT, what it does, and how to use it.  The homepage for this"
"1.4.1","","","","","","6","repository is the AUGMENT Locator.  This will be the destination"
"1.4.1","","","","","","7","for your next exercise. Feel free to follow any links that you"
"1.4.1","","","","","","8","find."
"1.4.1.1","4a1","0253","CE","Fri 17 Apr 1998 06:48:42 GMT+00:00","3","",""
"1.4.1.1","","","","","","1","Also feel free to request &quot;Bookmarks&quot;, which will"
"1.4.1.1","","","","","","2","create an editable index for you in an AUGMENT file (later you"
