"dotted_numeric","dotted_alphanumeric","nid","author","dtCreated","level"
"1","","","","","1"
"1.1","1","02","THOM","Thu 27 Sep 1979 05:37:33 GMT+00:00","2"
"1.1.1","1a","03","CE","Fri 1 Sep 2006 06:51:15 GMT+00:00","3"
"1.1.2","1b","088","CE","Wed 13 Sep 1995 04:15:32 GMT+00:00","3"
"1.2","2","0144","CE","Wed 13 Sep 1995 04:17:42 GMT+00:00","2"
"1.2.1","2a","0145","CE","Tue 5 Sep 2006 00:57:16 GMT+00:00","3"
"1.2.1.1","2a1","0148","CE","Tue 5 Sep 2006 00:57:17 GMT+00:00","4"
"1.2.1.2","2a2","0149","CE","Fri 17 Apr 1998 06:46:17 GMT+00:00","4"
"1.2.1.3","2a3","0151","CE","Tue 5 Sep 2006 00:57:38 GMT+00:00","4"
"1.2.1.4","2a4","0334","CE","Thu 7 Sep 2006 07:28:42 GMT+00:00","4"
"1.2.1.5","2a5","0280","CE","Fri 17 Apr 1998 06:46:29 GMT+00:00","4"
"1.2.2","2b","0150","CE","Thu 7 Sep 2006 07:28:52 GMT+00:00","3"
"1.2.3","2c","0251","CE","Thu 19 Oct 1995 04:46:24 GMT+00:00","3"
"1.3","3","090","CE","Wed 13 Sep 1995 04:15:40 GMT+00:00","2"
"1.3.1","3a","0252","CE","Fri 1 Sep 2006 06:52:12 GMT+00:00","3"
"1.3.1.1","3a1","0164","CE","Fri 17 Apr 1998 06:47:00 GMT+00:00","4"
"1.3.1.2","3a2","0163","CE","Tue 17 Oct 1995 07:31:33 GMT+00:00","4"
"1.3.1.3","3a3","0142","CE","Fri 17 Apr 1998 06:47:21 GMT+00:00","4"
"1.3.1.4","3a4","0195","CE","Tue 23 Apr 1996 07:28:44 GMT+00:00","4"
"1.3.2","3b","0193","CE","Tue 23 Apr 1996 07:28:18 GMT+00:00","3"
"1.3.2.1","3b1","083","CE","Wed 13 Sep 1995 04:32:22 GMT+00:00","4"
"1.3.2.1.1","3b1a","0196","CE","Fri 8 Sep 2006 01:40:48 GMT+00:00","5"
"1.3.3","3c","0333","CE","Tue 5 Sep 2006 05:21:41 GMT+00:00","3"
"1.4","4","0199","CE","Tue 17 Oct 1995 07:52:52 GMT+00:00","2"
"1.4.1","4a","0200","CE","Tue 5 Sep 2006 02:33:50 GMT+00:00","3"
"1.5","5","0165","CE","Tue 17 Oct 1995 07:52:55 GMT+00:00","2"
"1.5.1","5a","0166","CE","Wed 24 Apr 1996 04:58:20 GMT+00:00","3"
"1.5.2","5b","0262","CE","Fri 1 Sep 2006 07:02:34 GMT+00:00","3"
