"dotted_numeric","dotted_alphanumeric","nid","author","dtCreated","level","Match_Count","Line Number","Text"
"1","","","","","1","3","",""
"1","","","","","","","1","<a href=&quot;#BI5, USER2:HYPERSCOPE, TUTOR-"
"1","","","","","","","2","HYPERSCOPE.AUG.6,&quot;>&lt;BI5, USER2:HYPERSCOPE, TUTOR-"
"1","","","","","","","3","HYPERSCOPE.AUG.6,&gt;</a>, 7-Sep-2006 22:10-PDT CE ;;;;"
"1.1","1","02","THOM","Thu 27 Sep 1979 05:37:33 GMT+00:00","2","1","",""
"1.1","","","","","","","1","INTRODUCTION"
"1.1.1","1a","03","CE","Fri 1 Sep 2006 06:51:15 GMT+00:00","3","6","",""
"1.1.1","","","","","","","1","Welcome to the HyperScope tutorial!  This file is a sort of"
"1.1.1","","","","","","","2","&quot;programmed text&quot; for new users.  By following the"
"1.1.1","","","","","","","3","instructions contained in it, you can quickly learn how to"
"1.1.1","","","","","","","4","navigate using the unique and powerful features of this tool."
"1.1.1","","","","","","","5","In this lesson you will learn the basics of browsing HyperScope"
"1.1.1","","","","","","","6","enabled files."
"1.1.2","1b","088","CE","Wed 13 Sep 1995 04:15:32 GMT+00:00","3","1","",""
"1.1.2","","","","","","","1","Don't worry if you make a mistake -- you can't hurt anything."
"1.2","2","0144","CE","Wed 13 Sep 1995 04:17:42 GMT+00:00","2","1","",""
"1.2","","","","","","","1","AUGMENTED BROWSING"
"1.2.1","2a","0145","CE","Tue 5 Sep 2006 00:57:16 GMT+00:00","3","3","",""
"1.2.1","","","","","","","1","The HyperScope provides enhanced power and efficiency to your"
"1.2.1","","","","","","","2","internet browser in a simple, easy-to-use format. The simplest"
"1.2.1","","","","","","","3","form of HyperScope browsing offers these value-added features:"
"1.2.1.1","2a1","0148","CE","Tue 5 Sep 2006 00:57:17 GMT+00:00","4","1","",""
"1.2.1.1","","","","","","","1","* Zoom buttons for zooming in and out of structure"
"1.2.1.2","2a2","0149","CE","Fri 17 Apr 1998 06:46:17 GMT+00:00","4","1","",""
"1.2.1.2","","","","","","","1","* automatic numbering of each object for easy reference"
"1.2.1.3","2a3","0151","CE","Tue 5 Sep 2006 00:57:38 GMT+00:00","4","1","",""
"1.2.1.3","","","","","","","1","* jumping by number"
"1.2.1.4","2a4","0334","CE","Thu 7 Sep 2006 07:28:42 GMT+00:00","4","1","",""
"1.2.1.4","","","","","","","1","* custom view settings"
"1.2.1.5","2a5","0280","CE","Fri 17 Apr 1998 06:46:29 GMT+00:00","4","1","",""
"1.2.1.5","","","","","","","1","* use of the numbers and custom view settings inside URL links"
"1.2.2","2b","0150","CE","Thu 7 Sep 2006 07:28:52 GMT+00:00","3","3","",""
"1.2.2","","","","","","","1","All designed to provide unified access into a &quot;living&quot;"
"1.2.2","","","","","","","2","repository of documents, email and other dialog records,"
"1.2.2","","","","","","","3","intelligence collections, briefings, source code, workflow, etc."
"1.2.3","2c","0251","CE","Thu 19 Oct 1995 04:46:24 GMT+00:00","3","1","",""
"1.2.3","","","","","","","1","Let's begin with zooming."
"1.3","3","090","CE","Wed 13 Sep 1995 04:15:40 GMT+00:00","2","1","",""
"1.3","","","","","","","1","ZOOMING"
"1.3.1","3a","0252","CE","Fri 1 Sep 2006 06:52:12 GMT+00:00","3","9","",""
"1.3.1","","","","","","","1","Most files in a knowledge repository have a logical structure,"
"1.3.1","","","","","","","2","be it a document, email, meeting records, source code, work"
"1.3.1","","","","","","","3","breakdown, briefings, or time logs. For example, this tutor file"
"1.3.1","","","","","","","4","is structured with the headings, paragraphs, and lists."
"1.3.1","","","","","","","5","HyperScope actually uses this structure for rapid and efficient"
"1.3.1","","","","","","","6","browsing. Using the Zoom buttons provided in the left margin"
"1.3.1","","","","","","","7","(these appear when you pass your cursor over the text), you can"
"1.3.1","","","","","","","8","quickly zoom in and out of the structure for less or more detail"
"1.3.1","","","","","","","9","on a particular topic:"
"1.3.1.1","3a1","0164","CE","Fri 17 Apr 1998 06:47:00 GMT+00:00","4","3","",""
"1.3.1.1","","","","","","","1","FULL VIEW:   The rightmost button provides a &quot;normal&quot;"
"1.3.1.1","","","","","","","2","view, or<BR/>                        &quot;full&quot; view (the"
"1.3.1.1","","","","","","","3","same view you have now)."
