"dotted_numeric","dotted_alphanumeric","nid","author","dtCreated"
"1.1","1","02","RVR","Thu 18 Oct 1984 06:22:51 GMT+00:00"
"1.2","2","03","ROSE","Wed 7 Jan 1981 07:19:58 GMT+00:00"
"1.3","3","04","ROSE","Mon 5 Jan 1981 07:29:05 GMT+00:00"
"1.4","4","05","ROSE","Mon 5 Jan 1981 07:45:26 GMT+00:00"
"1.5","5","06","ROSE","Mon 5 Jan 1981 07:47:19 GMT+00:00"
"1.6","6","07","ROSE","Tue 6 Jan 1981 00:14:33 GMT+00:00"
"1.7","7","0108","ROSE","Mon 5 Jan 1981 07:48:58 GMT+00:00"
"1.8","8","09","ROSE","Mon 5 Jan 1981 07:51:28 GMT+00:00"
"1.9","9","010","DRH","Tue 18 Aug 1981 05:27:40 GMT+00:00"
"1.10","10","011","ROSE","Mon 5 Jan 1981 07:51:54 GMT+00:00"
"1.11","11","012","THOM","Wed 12 Dec 1979 00:41:45 GMT+00:00"
"1.12","12","013","THOM","Fri 14 Dec 1979 02:38:37 GMT+00:00"
"1.13","13","014","DRH","Tue 18 Aug 1981 05:28:06 GMT+00:00"
"1.14","14","015","THOM","Fri 14 Dec 1979 02:56:40 GMT+00:00"
"1.15","15","016","THOM","Wed 12 Dec 1979 00:44:25 GMT+00:00"
"1.16","16","017","ROSE","Tue 6 Jan 1981 00:16:06 GMT+00:00"
"1.17","17","018","ROSE","Mon 5 Jan 1981 07:53:04 GMT+00:00"
"1.18","18","019","ROSE","Tue 6 Jan 1981 00:16:29 GMT+00:00"
"1.19","19","020","ROSE","Mon 5 Jan 1981 07:53:24 GMT+00:00"
"1.20","20","021","ROSE","Mon 5 Jan 1981 07:53:35 GMT+00:00"
"1.21","21","022","ROSE","Tue 6 Jan 1981 00:16:47 GMT+00:00"
"1.22","22","023","ROSE","Tue 6 Jan 1981 00:16:54 GMT+00:00"
"1.23","23","024","ROSE","Mon 5 Jan 1981 07:54:04 GMT+00:00"
"1.24","24","025","ROSE","Tue 6 Jan 1981 00:17:11 GMT+00:00"
"1.25","25","026","ROSE","Wed 7 Jan 1981 07:22:07 GMT+00:00"
"1.26","26","027","ROSE","Tue 6 Jan 1981 00:02:23 GMT+00:00"
"1.27","27","028","RVR","Thu 18 Oct 1984 06:19:39 GMT+00:00"
"1.28","28","029","THOM","Thu 13 Dec 1979 00:40:35 GMT+00:00"
"1.28.1","28a","030","ROSE","Tue 6 Jan 1981 00:03:10 GMT+00:00"
"1.28.2","28b","031","ROSE","Wed 7 Jan 1981 07:22:55 GMT+00:00"
"1.28.2.1","28b1","032","THOM","Thu 13 Dec 1979 00:49:29 GMT+00:00"
"1.28.2.1.1","28b1a","033","THOM","Thu 13 Dec 1979 00:44:17 GMT+00:00"
"1.28.2.1.1.1","28b1a1","034","ROSE","Tue 6 Jan 1981 00:03:33 GMT+00:00"
"1.28.2.1.1.1.1","28b1a1a","035","THOM","Thu 13 Dec 1979 00:44:36 GMT+00:00"
"1.28.2.1.2","28b1b","036","THOM","Thu 13 Dec 1979 00:43:51 GMT+00:00"
"1.28.2.1.2.1","28b1b1","037","THOM","Thu 13 Dec 1979 00:45:25 GMT+00:00"
"1.28.2.1.2.1.1","28b1b1a","038","THOM","Thu 13 Dec 1979 00:45:27 GMT+00:00"
"1.28.2.1.2.1.2","28b1b1b","039","THOM","Thu 13 Dec 1979 00:45:31 GMT+00:00"
"1.28.2.1.2.1.3","28b1b1c","040","THOM","Thu 13 Dec 1979 00:45:33 GMT+00:00"
"1.28.2.1.2.2","28b1b2","041","THOM","Thu 13 Dec 1979 00:44:01 GMT+00:00"
"1.28.2.1.2.3","28b1b3","042","THOM","Thu 13 Dec 1979 00:43:56 GMT+00:00"
"1.28.2.1.2.3.1","28b1b3a","043","THOM","Thu 13 Dec 1979 00:43:57 GMT+00:00"
"1.28.3","28c","044","ROSE","Tue 6 Jan 1981 00:03:40 GMT+00:00"
"1.28.4","28d","045","ROSE","Tue 6 Jan 1981 00:19:02 GMT+00:00"
"1.28.5","28e","047","ROSE","Wed 7 Jan 1981 07:23:51 GMT+00:00"
"1.28.6","28f","048","ROSE","Tue 6 Jan 1981 00:04:29 GMT+00:00"
"1.29","29","061","ROSE","Wed 7 Jan 1981 07:23:59 GMT+00:00"
"1.30","30","049","THOM","Thu 13 Dec 1979 00:49:29 GMT+00:00"
"1.30.1","30a","050","THOM","Thu 13 Dec 1979 00:44:17 GMT+00:00"
"1.30.1.1","30a1","051","ROSE","Tue 6 Jan 1981 00:20:25 GMT+00:00"
"1.30.1.1.1","30a1a","052","THOM","Thu 13 Dec 1979 00:44:36 GMT+00:00"
"1.30.2","30b","053","THOM","Thu 13 Dec 1979 00:43:51 GMT+00:00"
"1.30.2.1","30b1","054","THOM","Thu 13 Dec 1979 00:45:25 GMT+00:00"
"1.30.2.1.1","30b1a","055","THOM","Thu 13 Dec 1979 00:45:27 GMT+00:00"
"1.30.2.1.2","30b1b","056","THOM","Thu 13 Dec 1979 00:45:31 GMT+00:00"
"1.30.2.1.3","30b1c","057","THOM","Thu 13 Dec 1979 00:45:33 GMT+00:00"
"1.30.2.2","30b2","058","THOM","Thu 13 Dec 1979 00:44:01 GMT+00:00"
"1.30.2.3","30b3","059","THOM","Thu 13 Dec 1979 00:43:56 GMT+00:00"
"1.30.2.3.1","30b3a","060","THOM","Thu 13 Dec 1979 00:43:57 GMT+00:00"
"1.31","31","062","ROSE","Tue 6 Jan 1981 00:05:19 GMT+00:00"
"1.32","32","063","ROSE","Tue 6 Jan 1981 00:05:32 GMT+00:00"
"1.33","33","064","ROSE","Tue 6 Jan 1981 00:20:45 GMT+00:00"
"1.34","34","065","ROSE","Tue 6 Jan 1981 00:21:23 GMT+00:00"
"1.35","35","066","ROSE","Tue 6 Jan 1981 00:07:08 GMT+00:00"
"1.35.1","35a","067","ROSE","Tue 6 Jan 1981 00:21:42 GMT+00:00"
"1.35.1.1","35a1","068","ROSE","Tue 6 Jan 1981 00:21:33 GMT+00:00"
"1.36","36","069","ROSE","Tue 6 Jan 1981 00:07:09 GMT+00:00"
"1.36.1","36a","070","ROSE","Tue 6 Jan 1981 00:21:48 GMT+00:00"
"1.36.1.1","36a1","071","ROSE","Tue 6 Jan 1981 00:21:49 GMT+00:00"
"1.36.1.1.1","36a1a","072","ROSE","Tue 6 Jan 1981 00:21:54 GMT+00:00"
"1.37","37","073","ROSE","Tue 6 Jan 1981 00:07:11 GMT+00:00"
"1.38","38","074","RVR","Thu 18 Oct 1984 06:21:10 GMT+00:00"
"1.39","39","075","ROSE","Tue 6 Jan 1981 00:22:30 GMT+00:00"
"1.40","40","076","ROSE","Tue 6 Jan 1981 00:08:41 GMT+00:00"
"1.41","41","077","RVR","Thu 18 Oct 1984 06:21:29 GMT+00:00"
"1.42","42","078","THOM","Fri 14 Dec 1979 02:22:01 GMT+00:00"
"1.42.1","42a","079","THOM","Fri 14 Dec 1979 02:22:04 GMT+00:00"
"1.42.1.1","42a1","080","THOM","Fri 14 Dec 1979 02:22:45 GMT+00:00"
"1.42.1.2","42a2","081","THOM","Fri 14 Dec 1979 02:22:44 GMT+00:00"
"1.42.1.3","42a3","082","THOM","Fri 14 Dec 1979 02:22:15 GMT+00:00"
"1.42.1.4","42a4","083","THOM","Fri 14 Dec 1979 02:22:18 GMT+00:00"
"1.42.1.5","42a5","089","THOM","Fri 14 Dec 1979 02:22:53 GMT+00:00"
"1.42.1.6","42a6","090","THOM","Fri 14 Dec 1979 02:22:56 GMT+00:00"
"1.42.1.7","42a7","084","THOM","Fri 14 Dec 1979 02:22:22 GMT+00:00"
"1.42.1.8","42a8","085","THOM","Fri 14 Dec 1979 02:22:25 GMT+00:00"
"1.42.1.9","42a9","086","THOM","Fri 14 Dec 1979 02:22:41 GMT+00:00"
"1.42.1.10","42a10","087","THOM","Fri 14 Dec 1979 02:22:42 GMT+00:00"
"1.42.2","42b","088","THOM","Fri 14 Dec 1979 02:22:49 GMT+00:00"
"1.42.2.1","42b1","091","ROSE","Tue 6 Jan 1981 00:09:27 GMT+00:00"
"1.42.2.2","42b2","092","THOM","Fri 14 Dec 1979 02:23:04 GMT+00:00"
"1.42.3","42c","093","ROSE","Tue 6 Jan 1981 00:13:10 GMT+00:00"
"1.42.3.1","42c1","094","THOM","Fri 2 May 1980 05:28:32 GMT+00:00"
"1.42.3.2","42c2","095","THOM","Fri 14 Dec 1979 02:23:18 GMT+00:00"
"1.42.3.3","42c3","0109","RVR","Thu 18 Oct 1984 06:22:11 GMT+00:00"
"1.42.3.4","42c4","096","ROSE","Fri 9 Jan 1981 06:27:45 GMT+00:00"
"1.42.4","42d","097","THOM","Fri 14 Dec 1979 02:24:10 GMT+00:00"
