"dotted_numeric","dotted_alphanumeric","nid","author","dtCreated","level"
"1","","","","","1"
"1.1","1","02","THOM","Thu 7 Aug 1980 06:01:15 GMT+00:00","2"
"1.1.1","1a","03","ROSE","Mon 12 Jan 1981 07:38:37 GMT+00:00","3"
"1.1.2","1b","04","ROSE","Wed 7 Jan 1981 07:41:22 GMT+00:00","3"
"1.1.3","1c","0469","ROSE","Sat 10 Jan 1981 00:03:48 GMT+00:00","3"
"1.1.4","1d","0538","ROSE","Wed 7 Jan 1981 07:42:12 GMT+00:00","3"
"1.1.5","1e","01235","ROSE","Sat 10 Jan 1981 00:03:55 GMT+00:00","3"
"1.2","2","044","THOM","Thu 7 Aug 1980 06:01:18 GMT+00:00","2"
"1.2.1","2a","0534","ROSE","Mon 12 Jan 1981 07:38:42 GMT+00:00","3"
"1.2.2","2b","098","THOM","Wed 19 Dec 1979 02:16:46 GMT+00:00","3"
"1.2.2.1","2b1","099","ROSE","Wed 7 Jan 1981 07:42:52 GMT+00:00","4"
"1.2.2.2","2b2","0100","ROSE","Wed 7 Jan 1981 07:42:48 GMT+00:00","4"
"1.2.2.3","2b3","0101","ROSE","Wed 7 Jan 1981 07:43:00 GMT+00:00","4"
"1.2.2.3.1","2b3a","0102","ROSE","Sat 10 Jan 1981 00:25:17 GMT+00:00","5"
"1.2.2.3.1.1","2b3a1","0144","ROSE","Wed 7 Jan 1981 07:45:31 GMT+00:00","6"
"1.2.2.3.1.2","2b3a2","0145","ROSE","Sat 10 Jan 1981 00:26:56 GMT+00:00","6"
"1.2.2.3.1.3","2b3a3","0146","THOM","Wed 12 Mar 1980 06:07:15 GMT+00:00","6"
"1.2.2.3.1.4","2b3a4","0147","ROSE","Wed 7 Jan 1981 07:45:29 GMT+00:00","6"
"1.2.2.4","2b4","0103","ROSE","Wed 7 Jan 1981 07:46:12 GMT+00:00","4"
"1.2.2.5","2b5","0104","ROSE","Thu 8 Jan 1981 00:32:21 GMT+00:00","4"
"1.2.2.5.1","2b5a","0105","THOM","Wed 19 Dec 1979 02:23:05 GMT+00:00","5"
"1.2.2.5.1.1","2b5a1","0108","THOM","Wed 19 Dec 1979 02:23:05 GMT+00:00","6"
"1.2.2.5.1.1.1","2b5a1a","0109","THOM","Wed 19 Dec 1979 02:23:06 GMT+00:00","7"
"1.2.2.5.1.1.2","2b5a1b","0110","THOM","Wed 19 Dec 1979 02:23:06 GMT+00:00","7"
"1.2.2.5.1.1.3","2b5a1c","0114","THOM","Wed 19 Dec 1979 02:23:54 GMT+00:00","7"
"1.2.2.5.1.2","2b5a2","0111","THOM","Wed 19 Dec 1979 02:23:06 GMT+00:00","6"
"1.2.2.5.2","2b5b","0106","THOM","Wed 19 Dec 1979 02:23:06 GMT+00:00","5"
"1.2.2.5.2.1","2b5b1","0112","THOM","Wed 19 Dec 1979 02:23:06 GMT+00:00","6"
"1.2.2.5.2.2","2b5b2","0113","THOM","Wed 19 Dec 1979 02:23:06 GMT+00:00","6"
"1.2.2.5.3","2b5c","0107","THOM","Wed 19 Dec 1979 02:23:06 GMT+00:00","5"
"1.2.2.6","2b6","0115","ROSE","Wed 7 Jan 1981 07:48:13 GMT+00:00","4"
