"dotted_numeric","dotted_alphanumeric","nid","author","dtCreated","level","Match_Count","Line Number","Text"
"1","","","","","1","2","",""
"1","","","","","","","1","<BI5, USER2:NEUBERG, TUTOR3.AUG.2,>, 22-Mar-2006 17:45-PST BKN"
"1","","","","","","","2",";;;;"
"1.1","1","02","THOM","Thu 7 Aug 1980 06:01:15 GMT+00:00","2","1","",""
"1.1","","","","","","","1","Introduction"
"1.1.1","1a","03","ROSE","Mon 12 Jan 1981 07:38:37 GMT+00:00","3","18","",""
"1.1.1","","","","","","","1","Welcome to TUTOR3!  Now that you know a little more about the"
"1.1.1","","","","","","","2","way files are structured in AUGMENT, we will take advantage of"
"1.1.1","","","","","","","3","that knowledge in this new file.  It is actually a structured"
"1.1.1","","","","","","","4","file, and by turning on appropriate viewspecs, you can get a"
"1.1.1","","","","","","","5","view of the table of contents of the file without having to read"
"1.1.1","","","","","","","6","through the whole file.  By now, you have enough basic editing"
"1.1.1","","","","","","","7","skills to do most things, but you may be interested in learning"
"1.1.1","","","","","","","8","more about a few specific topics.  When you finish reading this"
"1.1.1","","","","","","","9","paragraph, you should take a look at the contents of the file"
"1.1.1","","","","","","","10","with a one-line, one-level view to see what is coming.  Here's"
"1.1.1","","","","","","","11","another shortcut:  Very often you will want to see one line and"
"1.1.1","","","","","","","12","one level or all lines and all levels.  Viewspec &quot;x&quot;"
"1.1.1","","","","","","","13","is one line, one level (like setting viewspecs d and t"
"1.1.1","","","","","","","14","together), and viewspec &quot;w&quot; is all lines, all levels"
"1.1.1","","","","","","","15","(like setting viewspecs c and s together).  Turn on viewspec"
"1.1.1","","","","","","","16","&quot;x&quot; (using the command &quot;Set Viewspecs"
"1.1.1","","","","","","","17","x<OK>&quot;) to view the main headings, and then turn on"
"1.1.1","","","","","","","18","viewspec &quot;w&quot; and continue."
"1.1.2","1b","04","ROSE","Wed 7 Jan 1981 07:41:22 GMT+00:00","3","11","",""
"1.1.2","","","","","","","1","This is the third of the tutor files, and by the time you have"
"1.1.2","","","","","","","2","completed it, you will have covered enough of the basic AUGMENT"
