"dotted_numeric","dotted_alphanumeric","nid","author","dtCreated"
"1.1","1","02","THOM","Thu 27 Sep 1979 05:37:33 GMT+00:00"
"1.2","2","03","THOM","Mon 7 Jul 1980 05:22:17 GMT+00:00"
"1.3","3","04","THOM","Mon 7 Jul 1980 05:22:17 GMT+00:00"
"1.4","4","05","THOM","Mon 7 Jul 1980 05:22:17 GMT+00:00"
"1.5","5","06","THOM","Thu 27 Sep 1979 05:37:49 GMT+00:00"
"1.6","6","07","THOM","Mon 7 Jul 1980 05:22:17 GMT+00:00"
"1.7","7","08","ROSE","Mon 25 Feb 1980 07:21:15 GMT+00:00"
"1.8","8","09","ROSE","Mon 25 Feb 1980 07:23:54 GMT+00:00"
"1.9","9","010","THOM","Mon 7 Jul 1980 05:22:18 GMT+00:00"
"1.10","10","011","ROSE","Tue 26 Feb 1980 00:02:56 GMT+00:00"
"1.11","11","012","ROSE","Mon 25 Feb 1980 07:26:29 GMT+00:00"
"1.12","12","013","THOM","Thu 12 Jun 1980 05:38:10 GMT+00:00"
"1.13","13","014","THOM","Fri 2 May 1980 05:24:40 GMT+00:00"
"1.14","14","015","THOM","Thu 27 Sep 1979 06:40:56 GMT+00:00"
"1.15","15","016","THOM","Thu 27 Sep 1979 06:40:52 GMT+00:00"
"1.16","16","017","THOM","Thu 27 Sep 1979 06:05:59 GMT+00:00"
"1.17","17","018","THOM","Thu 12 Jun 1980 05:38:37 GMT+00:00"
"1.18","18","019","THOM","Fri 2 May 1980 05:27:01 GMT+00:00"
"1.19","19","020","ROSE","Mon 5 Jan 1981 07:36:43 GMT+00:00"
"1.20","20","021","THOM","Thu 27 Sep 1979 06:43:16 GMT+00:00"
"1.21","21","022","THOM","Fri 2 May 1980 05:25:09 GMT+00:00"
"1.22","22","023","THOM","Mon 7 Jul 1980 05:22:18 GMT+00:00"
"1.23","23","024","THOM","Thu 27 Sep 1979 06:46:53 GMT+00:00"
"1.24","24","025","THOM","Thu 27 Sep 1979 06:47:16 GMT+00:00"
"1.25","25","026","THOM","Thu 27 Sep 1979 06:47:24 GMT+00:00"
"1.26","26","027","THOM","Fri 2 May 1980 05:26:11 GMT+00:00"
"1.27","27","028","THOM","Mon 7 Jul 1980 05:22:18 GMT+00:00"
"1.28","28","029","ROSE","Mon 25 Feb 1980 07:42:00 GMT+00:00"
"1.29","29","030","ROSE","Wed 7 Jan 1981 07:17:19 GMT+00:00"
"1.30","30","031","ROSE","Mon 25 Feb 1980 07:42:23 GMT+00:00"
"1.31","31","032","THOM","Thu 27 Sep 1979 06:53:19 GMT+00:00"
"1.32","32","033","ROSE","Tue 26 Feb 1980 00:04:54 GMT+00:00"
"1.33","33","034","ROSE","Mon 5 Jan 1981 07:32:21 GMT+00:00"
"1.34","34","035","THOM","Thu 27 Sep 1979 07:20:53 GMT+00:00"
"1.35","35","036","THOM","Thu 27 Sep 1979 07:21:11 GMT+00:00"
"1.36","36","037","THOM","Thu 27 Sep 1979 07:21:19 GMT+00:00"
"1.37","37","038","ROSE","Mon 25 Feb 1980 07:44:15 GMT+00:00"
"1.38","38","039","ROSE","Mon 25 Feb 1980 07:46:05 GMT+00:00"
"1.39","39","040","ROSE","Mon 25 Feb 1980 07:46:11 GMT+00:00"
"1.40","40","041","THOM","Thu 27 Sep 1979 07:24:15 GMT+00:00"
"1.41","41","042","ROSE","Mon 25 Feb 1980 07:46:51 GMT+00:00"
"1.42","42","043","ROSE","Mon 25 Feb 1980 07:46:54 GMT+00:00"
"1.43","43","044","ROSE","Tue 26 Feb 1980 00:05:44 GMT+00:00"
"1.44","44","045","ROSE","Tue 26 Feb 1980 00:05:45 GMT+00:00"
"1.45","45","046","THOM","Thu 27 Sep 1979 07:29:05 GMT+00:00"
"1.46","46","047","ROSE","Mon 5 Jan 1981 07:37:56 GMT+00:00"
"1.47","47","048","ROSE","Tue 26 Feb 1980 00:06:04 GMT+00:00"
"1.48","48","049","THOM","Fri 2 May 1980 05:26:35 GMT+00:00"
"1.49","49","050","ROSE","Tue 26 Feb 1980 00:06:27 GMT+00:00"
"1.50","50","051","THOM","Thu 27 Sep 1979 07:35:50 GMT+00:00"
"1.51","51","052","ROSE","Mon 25 Feb 1980 07:50:07 GMT+00:00"
"1.52","52","053","ROSE","Tue 26 Feb 1980 00:06:35 GMT+00:00"
"1.53","53","054","ROSE","Tue 26 Feb 1980 00:06:35 GMT+00:00"
"1.54","54","055","ROSE","Mon 25 Feb 1980 07:50:15 GMT+00:00"
