"dotted_numeric","dotted_alphanumeric","nid","author","dtCreated","level","Match_Count","Line Number","Text"
"1","","","","","1","1","",""
"1","","","","","","","1","<OFFICE-4, TUTOR, TUTOR.AUG.3,>, 13-Oct-87 10:45-EDT DAP ;;;;"
"1.1","1","02","THOM","Thu 27 Sep 1979 05:37:33 GMT+00:00","2","1","",""
"1.1","","","","","","","1","INTRODUCTION"
"1.2","2","03","THOM","Mon 7 Jul 1980 05:22:17 GMT+00:00","2","7","",""
"1.2","","","","","","","1","This file is a sort of &quot;programmed text&quot; for new users"
"1.2","","","","","","","2","of AUGMENT.  By following the instructions contained in it, you"
"1.2","","","","","","","3","should be able to learn by yourself how to use many of the"
"1.2","","","","","","","4","capabilities of this system.  Don't worry if you make a mistake"
"1.2","","","","","","","5","-- you can't hurt anything.  If you do make a mistake, press the"
"1.2","","","","","","","6","key marked CMD DELETE (for &quot;command delete&quot;) and start"
"1.2","","","","","","","7","over."
"1.3","3","04","THOM","Mon 7 Jul 1980 05:22:17 GMT+00:00","2","12","",""
"1.3","","","","","","","1","First, and most important, look on the right side of your"
"1.3","","","","","","","2","keyboard at the small device with three buttons on top of it."
"1.3","","","","","","","3","It is called a &quot;mouse&quot;.  Without pushing any buttons,"
"1.3","","","","","","","4","roll the mouse around on the surface of your worktable, and"
"1.3","","","","","","","5","watch the screen.  Notice that there is a cursor, or underline"
"1.3","","","","","","","6","character, which moves as you roll the mouse.  When you roll the"
"1.3","","","","","","","7","mouse right and left, the cursor moves right and left; as you"
"1.3","","","","","","","8","roll the mouse toward and away from you, the cursor moves down"
"1.3","","","","","","","9","and up.  Later, when a command requires you to point to"
"1.3","","","","","","","10","something, you will do so by moving the mouse until the cursor"
"1.3","","","","","","","11","is under the character you want to point to, and then pressing"
"1.3","","","","","","","12","the <OK> key."
"1.4","4","05","THOM","Mon 7 Jul 1980 05:22:17 GMT+00:00","2","5","",""
"1.4","","","","","","","1","To see the next screenful, for example, type the letter"
"1.4","","","","","","","2","&quot;j&quot; (for &quot;jump&quot;), put the cursor anywhere"
